ProductID,ProductTHTDatum,CStatusProduct,FStatusProduct,PStatusProduct,SoortProductID
187,2024-08-20,In Productie,Niet gevuld,Niet verpakt,2
188,2024-09-21,Gemaakt,Niet gevuld,Niet verpakt,2
189,2024-10-22,In Productie,Gevuld,Niet verpakt,2
190,2024-11-23,Gemaakt,Niet gevuld,Verpakt,1
191,2024-12-24,In Productie,Niet gevuld,Niet verpakt,2
192,2024-01-25,Gemaakt,Gevuld,Niet verpakt,1
193,2024-02-26,In Productie,Niet gevuld,Niet verpakt,2
194,2024-03-27,Gemaakt,Niet gevuld,Niet verpakt,2
195,2024-04-28,In Productie,Gevuld,Verpakt,2
196,2024-05-01,Gemaakt,Niet gevuld,Niet verpakt,1
197,2024-06-02,In Productie,Niet gevuld,Niet verpakt,1
198,2024-07-03,Gemaakt,Gevuld,Niet verpakt,2
199,2024-08-04,In Productie,Niet gevuld,Niet verpakt,2
200,2024-09-05,Gemaakt,Niet gevuld,Verpakt,1
201,2024-10-06,In Productie,Gevuld,Niet verpakt,1
202,2024-11-07,Gemaakt,Niet gevuld,Niet verpakt,1
203,2024-12-08,In Productie,Niet gevuld,Niet verpakt,2
204,2024-01-09,Gemaakt,Gevuld,Niet verpakt,1
205,2024-02-10,In Productie,Niet gevuld,Verpakt,1
206,2024-03-11,Gemaakt,Niet gevuld,Niet verpakt,1
207,2024-04-12,In Productie,Gevuld,Niet verpakt,2
208,2024-05-13,Gemaakt,Niet gevuld,Niet verpakt,2
209,2024-06-14,In Productie,Niet gevuld,Niet verpakt,2
210,2024-07-15,Gemaakt,Gevuld,Verpakt,1
211,2024-08-16,In Productie,Niet gevuld,Niet verpakt,2
212,2024-09-17,Gemaakt,Niet gevuld,Niet verpakt,1
213,2024-10-18,In Productie,Gevuld,Niet verpakt,1
214,2024-11-19,Gemaakt,Niet gevuld,Niet verpakt,1
215,2024-12-20,In Productie,Niet gevuld,Verpakt,1
216,2024-01-21,Gemaakt,Gevuld,Niet verpakt,2
217,2024-02-22,In Productie,Niet gevuld,Niet verpakt,1
218,2024-03-23,Gemaakt,Niet gevuld,Niet verpakt,1
219,2024-04-24,In Productie,Gevuld,Niet verpakt,2
220,2024-05-25,Gemaakt,Niet gevuld,Verpakt,2
221,2024-06-26,In Productie,Niet gevuld,Niet verpakt,1
222,2024-07-27,Gemaakt,Gevuld,Niet verpakt,2
223,2024-08-28,In Productie,Niet gevuld,Niet verpakt,1
224,2024-09-01,Gemaakt,Niet gevuld,Niet verpakt,1
225,2024-10-02,In Productie,Gevuld,Verpakt,1
226,2024-11-03,Gemaakt,Niet gevuld,Niet verpakt,2
227,2024-12-04,In Productie,Niet gevuld,Niet verpakt,2
228,2024-01-05,Gemaakt,Gevuld,Niet verpakt,1
229,2024-02-06,In Productie,Niet gevuld,Niet verpakt,2
230,2024-03-07,Gemaakt,Niet gevuld,Verpakt,2
231,2024-04-08,In Productie,Gevuld,Niet verpakt,2
232,2024-05-09,Gemaakt,Niet gevuld,Niet verpakt,1
233,2024-06-10,In Productie,Niet gevuld,Niet verpakt,2
234,2024-07-11,Gemaakt,Gevuld,Niet verpakt,1
235,2024-08-12,In Productie,Niet gevuld,Verpakt,1
236,2024-09-13,Gemaakt,Niet gevuld,Niet verpakt,2
237,2024-10-14,In Productie,Gevuld,Niet verpakt,1
238,2024-11-15,Gemaakt,Niet gevuld,Niet verpakt,2
239,2024-12-16,In Productie,Niet gevuld,Niet verpakt,1
240,2024-01-17,Gemaakt,Gevuld,Verpakt,1
241,2024-02-18,In Productie,Niet gevuld,Niet verpakt,1
242,2024-03-19,Gemaakt,Niet gevuld,Niet verpakt,1
243,2024-04-20,In Productie,Gevuld,Niet verpakt,2
244,2024-05-21,Gemaakt,Niet gevuld,Niet verpakt,2
245,2024-06-22,In Productie,Niet gevuld,Verpakt,2
246,2024-07-23,Gemaakt,Gevuld,Niet verpakt,2
247,2024-08-24,In Productie,Niet gevuld,Niet verpakt,2
248,2024-09-25,Gemaakt,Niet gevuld,Niet verpakt,2
249,2024-10-26,In Productie,Gevuld,Niet verpakt,1
250,2024-11-27,Gemaakt,Niet gevuld,Verpakt,1
251,2024-12-28,In Productie,Niet gevuld,Niet verpakt,1
252,2024-01-01,Gemaakt,Gevuld,Niet verpakt,2
253,2024-02-02,In Productie,Niet gevuld,Niet verpakt,2
254,2024-03-03,Gemaakt,Niet gevuld,Niet verpakt,2
255,2024-04-04,In Productie,Gevuld,Verpakt,2
256,2024-05-05,Gemaakt,Niet gevuld,Niet verpakt,2
257,2024-06-06,In Productie,Niet gevuld,Niet verpakt,2
258,2024-07-07,Gemaakt,Gevuld,Niet verpakt,1
259,2024-08-08,In Productie,Niet gevuld,Niet verpakt,1
260,2024-09-09,Gemaakt,Niet gevuld,Verpakt,1
261,2024-10-10,In Productie,Gevuld,Niet verpakt,1
262,2024-11-11,Gemaakt,Niet gevuld,Niet verpakt,1
263,2024-12-12,In Productie,Niet gevuld,Niet verpakt,2
264,2024-01-13,Gemaakt,Gevuld,Niet verpakt,1
265,2024-02-14,In Productie,Niet gevuld,Verpakt,1
266,2024-03-15,Gemaakt,Niet gevuld,Niet verpakt,1
267,2024-04-16,In Productie,Gevuld,Niet verpakt,1
268,2024-05-17,Gemaakt,Niet gevuld,Niet verpakt,1
269,2024-06-18,In Productie,Niet gevuld,Niet verpakt,1
270,2024-07-19,Gemaakt,Gevuld,Verpakt,1
271,2024-08-20,In Productie,Niet gevuld,Niet verpakt,2
272,2024-09-21,Gemaakt,Niet gevuld,Niet verpakt,1
273,2024-10-22,In Productie,Gevuld,Niet verpakt,1
274,2024-11-23,Gemaakt,Niet gevuld,Niet verpakt,1
275,2024-12-24,In Productie,Niet gevuld,Verpakt,1
276,2024-01-25,Gemaakt,Gevuld,Niet verpakt,2
277,2024-02-26,In Productie,Niet gevuld,Niet verpakt,2
278,2024-03-27,Gemaakt,Niet gevuld,Niet verpakt,1
279,2024-04-28,In Productie,Gevuld,Niet verpakt,1
280,2024-05-01,Gemaakt,Niet gevuld,Verpakt,1
281,2024-06-02,In Productie,Niet gevuld,Niet verpakt,1
282,2024-07-03,Gemaakt,Gevuld,Niet verpakt,1
283,2024-08-04,In Productie,Niet gevuld,Niet verpakt,2
284,2024-09-05,Gemaakt,Niet gevuld,Niet verpakt,2
285,2024-10-06,In Productie,Gevuld,Verpakt,2
286,2024-11-07,Gemaakt,Niet gevuld,Niet verpakt,1
287,2024-12-08,In Productie,Niet gevuld,Niet verpakt,2
288,2024-01-09,Gemaakt,Gevuld,Niet verpakt,1
289,2024-02-10,In Productie,Niet gevuld,Niet verpakt,2
290,2024-03-11,Gemaakt,Niet gevuld,Verpakt,1
291,2024-04-12,In Productie,Gevuld,Niet verpakt,2
292,2024-05-13,Gemaakt,Niet gevuld,Niet verpakt,2
293,2024-06-14,In Productie,Niet gevuld,Niet verpakt,2
294,2024-07-15,Gemaakt,Gevuld,Niet verpakt,1
295,2024-08-16,In Productie,Niet gevuld,Verpakt,2
296,2024-09-17,Gemaakt,Niet gevuld,Niet verpakt,2
297,2024-10-18,In Productie,Gevuld,Niet verpakt,1
298,2024-11-19,Gemaakt,Niet gevuld,Niet verpakt,2
299,2024-12-20,In Productie,Niet gevuld,Niet verpakt,2
300,2024-01-21,Gemaakt,Gevuld,Verpakt,2
301,2024-02-22,In Productie,Niet gevuld,Niet verpakt,2
302,2024-03-23,Gemaakt,Niet gevuld,Niet verpakt,1
303,2024-04-24,In Productie,Gevuld,Niet verpakt,2
304,2024-05-25,Gemaakt,Niet gevuld,Niet verpakt,2
305,2024-06-26,In Productie,Niet gevuld,Verpakt,1
306,2024-07-27,Gemaakt,Gevuld,Niet verpakt,1
307,2024-08-28,In Productie,Niet gevuld,Niet verpakt,2
308,2024-09-01,Gemaakt,Niet gevuld,Niet verpakt,2
309,2024-10-02,In Productie,Gevuld,Niet verpakt,1
310,2024-11-03,Gemaakt,Niet gevuld,Verpakt,1
311,2024-12-04,In Productie,Niet gevuld,Niet verpakt,1
312,2024-01-05,Gemaakt,Gevuld,Niet verpakt,1
313,2024-02-06,In Productie,Niet gevuld,Niet verpakt,1
314,2024-03-07,Gemaakt,Niet gevuld,Niet verpakt,1
315,2024-04-08,In Productie,Gevuld,Verpakt,2
316,2024-05-09,Gemaakt,Niet gevuld,Niet verpakt,1
317,2024-06-10,In Productie,Niet gevuld,Niet verpakt,2
318,2024-07-11,Gemaakt,Gevuld,Niet verpakt,2
319,2024-08-12,In Productie,Niet gevuld,Niet verpakt,2
320,2024-09-13,Gemaakt,Niet gevuld,Verpakt,1
321,2024-10-14,In Productie,Gevuld,Niet verpakt,2
322,2024-11-15,Gemaakt,Niet gevuld,Niet verpakt,1
323,2024-12-16,In Productie,Niet gevuld,Niet verpakt,2
324,2024-01-17,Gemaakt,Gevuld,Niet verpakt,2
325,2024-02-18,In Productie,Niet gevuld,Verpakt,1
326,2024-03-19,Gemaakt,Niet gevuld,Niet verpakt,2
327,2024-04-20,In Productie,Gevuld,Niet verpakt,1
328,2024-05-21,Gemaakt,Niet gevuld,Niet verpakt,2
329,2024-06-22,In Productie,Niet gevuld,Niet verpakt,2
330,2024-07-23,Gemaakt,Gevuld,Verpakt,2
331,2024-08-24,In Productie,Niet gevuld,Niet verpakt,2
332,2024-09-25,Gemaakt,Niet gevuld,Niet verpakt,1
333,2024-10-26,In Productie,Gevuld,Niet verpakt,2
334,2024-11-27,Gemaakt,Niet gevuld,Niet verpakt,1
335,2024-12-28,In Productie,Niet gevuld,Verpakt,2
336,2024-01-01,Gemaakt,Gevuld,Niet verpakt,2
337,2024-02-02,In Productie,Niet gevuld,Niet verpakt,2
338,2024-03-03,Gemaakt,Niet gevuld,Niet verpakt,1
339,2024-04-04,In Productie,Gevuld,Niet verpakt,2
340,2024-05-05,Gemaakt,Niet gevuld,Verpakt,2
341,2024-06-06,In Productie,Niet gevuld,Niet verpakt,2
342,2024-07-07,Gemaakt,Gevuld,Niet verpakt,1
343,2024-08-08,In Productie,Niet gevuld,Niet verpakt,1
344,2024-09-09,Gemaakt,Niet gevuld,Niet verpakt,1
345,2024-10-10,In Productie,Gevuld,Verpakt,2
346,2024-11-11,Gemaakt,Niet gevuld,Niet verpakt,1
347,2024-12-12,In Productie,Niet gevuld,Niet verpakt,1
348,2024-01-13,Gemaakt,Gevuld,Niet verpakt,1
349,2024-02-14,In Productie,Niet gevuld,Niet verpakt,2
350,2024-03-15,Gemaakt,Niet gevuld,Verpakt,2
351,2024-04-16,In Productie,Gevuld,Niet verpakt,1
352,2024-05-17,Gemaakt,Niet gevuld,Niet verpakt,1
353,2024-06-18,In Productie,Niet gevuld,Niet verpakt,1
354,2024-07-19,Gemaakt,Gevuld,Niet verpakt,2
355,2024-08-20,In Productie,Niet gevuld,Verpakt,1
356,2024-09-21,Gemaakt,Niet gevuld,Niet verpakt,2
357,2024-10-22,In Productie,Gevuld,Niet verpakt,2
358,2024-11-23,Gemaakt,Niet gevuld,Niet verpakt,1
359,2024-12-24,In Productie,Niet gevuld,Niet verpakt,2
360,2024-01-25,Gemaakt,Gevuld,Verpakt,1
361,2024-02-26,In Productie,Niet gevuld,Niet verpakt,2
362,2024-03-27,Gemaakt,Niet gevuld,Niet verpakt,2
363,2024-04-28,In Productie,Gevuld,Niet verpakt,1
364,2024-05-01,Gemaakt,Niet gevuld,Niet verpakt,2
365,2024-06-02,In Productie,Niet gevuld,Verpakt,2
366,2024-07-03,Gemaakt,Gevuld,Niet verpakt,2
367,2024-08-04,In Productie,Niet gevuld,Niet verpakt,2
368,2024-09-05,Gemaakt,Niet gevuld,Niet verpakt,2
369,2024-10-06,In Productie,Gevuld,Niet verpakt,2
370,2024-11-07,Gemaakt,Niet gevuld,Verpakt,1
371,2024-12-08,In Productie,Niet gevuld,Niet verpakt,2
372,2024-01-09,Gemaakt,Gevuld,Niet verpakt,1
373,2024-02-10,In Productie,Niet gevuld,Niet verpakt,2
374,2024-03-11,Gemaakt,Niet gevuld,Niet verpakt,2
375,2024-04-12,In Productie,Gevuld,Verpakt,1
376,2024-05-13,Gemaakt,Niet gevuld,Niet verpakt,1
377,2024-06-14,In Productie,Niet gevuld,Niet verpakt,1
378,2024-07-15,Gemaakt,Gevuld,Niet verpakt,1
379,2024-08-16,In Productie,Niet gevuld,Niet verpakt,2
380,2024-09-17,Gemaakt,Niet gevuld,Verpakt,1
381,2024-10-18,In Productie,Gevuld,Niet verpakt,2
382,2024-11-19,Gemaakt,Niet gevuld,Niet verpakt,2
383,2024-12-20,In Productie,Niet gevuld,Niet verpakt,2
384,2024-01-21,Gemaakt,Gevuld,Niet verpakt,2
385,2024-02-22,In Productie,Niet gevuld,Verpakt,1
386,2024-03-23,Gemaakt,Niet gevuld,Niet verpakt,2
387,2024-04-24,In Productie,Gevuld,Niet verpakt,2
388,2024-05-25,Gemaakt,Niet gevuld,Niet verpakt,2
389,2024-06-26,In Productie,Niet gevuld,Niet verpakt,2
390,2024-07-27,Gemaakt,Gevuld,Verpakt,2
391,2024-08-28,In Productie,Niet gevuld,Niet verpakt,1
392,2024-09-01,Gemaakt,Niet gevuld,Niet verpakt,1
393,2024-10-02,In Productie,Gevuld,Niet verpakt,1
394,2024-11-03,Gemaakt,Niet gevuld,Niet verpakt,2
395,2024-12-04,In Productie,Niet gevuld,Verpakt,1
396,2024-01-05,Gemaakt,Gevuld,Niet verpakt,1
397,2024-02-06,In Productie,Niet gevuld,Niet verpakt,1
398,2024-03-07,Gemaakt,Niet gevuld,Niet verpakt,2
399,2024-04-08,In Productie,Gevuld,Niet verpakt,1
400,2024-05-09,Gemaakt,Niet gevuld,Verpakt,1
401,2024-06-10,In Productie,Niet gevuld,Niet verpakt,1
402,2024-07-11,Gemaakt,Gevuld,Niet verpakt,1
403,2024-08-12,In Productie,Niet gevuld,Niet verpakt,2
404,2024-09-13,Gemaakt,Niet gevuld,Niet verpakt,2
405,2024-10-14,In Productie,Gevuld,Verpakt,1
406,2024-11-15,Gemaakt,Niet gevuld,Niet verpakt,1
407,2024-12-16,In Productie,Niet gevuld,Niet verpakt,1
408,2024-01-17,Gemaakt,Gevuld,Niet verpakt,2
409,2024-02-18,In Productie,Niet gevuld,Niet verpakt,2
410,2024-03-19,Gemaakt,Niet gevuld,Verpakt,2
411,2024-04-20,In Productie,Gevuld,Niet verpakt,2
412,2024-05-21,Gemaakt,Niet gevuld,Niet verpakt,1
413,2024-06-22,In Productie,Niet gevuld,Niet verpakt,1
414,2024-07-23,Gemaakt,Gevuld,Niet verpakt,2
415,2024-08-24,In Productie,Niet gevuld,Verpakt,2
416,2024-09-25,Gemaakt,Niet gevuld,Niet verpakt,1
417,2024-10-26,In Productie,Gevuld,Niet verpakt,2
418,2024-11-27,Gemaakt,Niet gevuld,Niet verpakt,2
419,2024-12-28,In Productie,Niet gevuld,Niet verpakt,2
420,2024-01-01,Gemaakt,Gevuld,Verpakt,2
421,2024-02-02,In Productie,Niet gevuld,Niet verpakt,2
422,2024-03-03,Gemaakt,Niet gevuld,Niet verpakt,2
423,2024-04-04,In Productie,Gevuld,Niet verpakt,1
424,2024-05-05,Gemaakt,Niet gevuld,Niet verpakt,1
425,2024-06-06,In Productie,Niet gevuld,Verpakt,1
426,2024-07-07,Gemaakt,Gevuld,Niet verpakt,2
427,2024-08-08,In Productie,Niet gevuld,Niet verpakt,2
428,2024-09-09,Gemaakt,Niet gevuld,Niet verpakt,2
429,2024-10-10,In Productie,Gevuld,Niet verpakt,1
430,2024-11-11,Gemaakt,Niet gevuld,Verpakt,2
431,2024-12-12,In Productie,Niet gevuld,Niet verpakt,1
432,2024-01-13,Gemaakt,Gevuld,Niet verpakt,2
433,2024-02-14,In Productie,Niet gevuld,Niet verpakt,1
434,2024-03-15,Gemaakt,Niet gevuld,Niet verpakt,2
435,2024-04-16,In Productie,Gevuld,Verpakt,1
