GrindingID,G_DatumTijdStart,G_DatumTijdEind,G_Machine,BatchID
33,2024-11-07 09:00:00,2024-11-07 10:03:00,Machine A3,33
34,2024-12-08 10:00:00,2024-12-08 11:55:00,Machine A4,34
35,2024-01-09 11:00:00,2024-01-09 13:10:00,Machine A0,35
36,2024-02-10 12:00:00,2024-02-10 14:10:00,Machine A1,36
37,2024-03-11 13:00:00,2024-03-11 14:35:00,Machine A2,37
38,2024-04-12 14:00:00,2024-04-12 15:16:00,Machine A3,38
39,2024-05-13 15:00:00,2024-05-13 16:38:00,Machine A4,39
40,2024-06-14 08:00:00,2024-06-14 10:24:00,Machine A0,40
41,2024-07-15 09:00:00,2024-07-15 10:25:00,Machine A1,41
42,2024-08-16 10:00:00,2024-08-16 12:13:00,Machine A2,42
43,2024-09-17 11:00:00,2024-09-17 12:25:00,Machine A3,43
44,2024-10-18 12:00:00,2024-10-18 14:59:00,Machine A4,44
45,2024-11-19 13:00:00,2024-11-19 14:04:00,Machine A0,45
46,2024-12-20 14:00:00,2024-12-20 16:50:00,Machine A1,46
47,2024-01-21 15:00:00,2024-01-21 17:56:00,Machine A2,47
48,2024-02-22 08:00:00,2024-02-22 09:39:00,Machine A3,48
49,2024-03-23 09:00:00,2024-03-23 10:17:00,Machine A4,49
50,2024-04-24 10:00:00,2024-04-24 12:57:00,Machine A0,50
51,2024-05-25 11:00:00,2024-05-25 13:18:00,Machine A1,51
52,2024-06-26 12:00:00,2024-06-26 14:32:00,Machine A2,52
53,2024-07-27 13:00:00,2024-07-27 14:44:00,Machine A3,53
54,2024-08-28 14:00:00,2024-08-28 15:06:00,Machine A4,54
55,2024-09-01 15:00:00,2024-09-01 16:43:00,Machine A0,55
56,2024-10-02 08:00:00,2024-10-02 09:37:00,Machine A1,56
57,2024-11-03 09:00:00,2024-11-03 11:23:00,Machine A2,57
58,2024-12-04 10:00:00,2024-12-04 11:59:00,Machine A3,58
59,2024-01-05 11:00:00,2024-01-05 12:05:00,Machine A4,59
60,2024-02-06 12:00:00,2024-02-06 14:38:00,Machine A0,60
61,2024-03-07 13:00:00,2024-03-07 14:42:00,Machine A1,61
62,2024-04-08 14:00:00,2024-04-08 15:56:00,Machine A2,62
63,2024-05-09 15:00:00,2024-05-09 16:44:00,Machine A3,63
64,2024-06-10 08:00:00,2024-06-10 09:26:00,Machine A4,64
65,2024-07-11 09:00:00,2024-07-11 11:39:00,Machine A0,65
66,2024-08-12 10:00:00,2024-08-12 11:37:00,Machine A1,66
67,2024-09-13 11:00:00,2024-09-13 13:30:00,Machine A2,67
68,2024-10-14 12:00:00,2024-10-14 13:37:00,Machine A3,68
69,2024-11-15 13:00:00,2024-11-15 15:38:00,Machine A4,69
70,2024-12-16 14:00:00,2024-12-16 15:54:00,Machine A0,70
71,2024-01-17 15:00:00,2024-01-17 17:49:00,Machine A1,71
72,2024-02-18 08:00:00,2024-02-18 09:19:00,Machine A2,72
73,2024-03-19 09:00:00,2024-03-19 10:07:00,Machine A3,73
74,2024-04-20 10:00:00,2024-04-20 12:08:00,Machine A4,74
75,2024-05-21 11:00:00,2024-05-21 12:44:00,Machine A0,75
76,2024-06-22 12:00:00,2024-06-22 14:06:00,Machine A1,76
77,2024-07-23 13:00:00,2024-07-23 15:27:00,Machine A2,77
78,2024-08-24 14:00:00,2024-08-24 16:22:00,Machine A3,78
79,2024-09-25 15:00:00,2024-09-25 16:18:00,Machine A4,79
80,2024-10-26 08:00:00,2024-10-26 10:07:00,Machine A0,80
81,2024-11-27 09:00:00,2024-11-27 11:11:00,Machine A1,81
82,2024-12-28 10:00:00,2024-12-28 12:24:00,Machine A2,82
83,2024-01-01 11:00:00,2024-01-01 12:27:00,Machine A3,83
84,2024-02-02 12:00:00,2024-02-02 14:34:00,Machine A4,84
85,2024-03-03 13:00:00,2024-03-03 15:50:00,Machine A0,85
86,2024-04-04 14:00:00,2024-04-04 15:22:00,Machine A1,86
87,2024-05-05 15:00:00,2024-05-05 16:01:00,Machine A2,87
88,2024-06-06 08:00:00,2024-06-06 09:51:00,Machine A3,88
89,2024-07-07 09:00:00,2024-07-07 10:50:00,Machine A4,89
90,2024-08-08 10:00:00,2024-08-08 11:23:00,Machine A0,90
91,2024-09-09 11:00:00,2024-09-09 12:14:00,Machine A1,91
92,2024-10-10 12:00:00,2024-10-10 14:19:00,Machine A2,92
93,2024-11-11 13:00:00,2024-11-11 15:03:00,Machine A3,93
94,2024-12-12 14:00:00,2024-12-12 15:26:00,Machine A4,94
95,2024-01-13 15:00:00,2024-01-13 17:00:00,Machine A0,95
96,2024-02-14 08:00:00,2024-02-14 10:32:00,Machine A1,96
97,2024-03-15 09:00:00,2024-03-15 10:08:00,Machine A2,97
98,2024-04-16 10:00:00,2024-04-16 12:22:00,Machine A3,98
99,2024-05-17 11:00:00,2024-05-17 13:36:00,Machine A4,99
100,2024-06-18 12:00:00,2024-06-18 14:23:00,Machine A0,100
101,2024-07-19 13:00:00,2024-07-19 15:42:00,Machine A1,101
102,2024-08-20 14:00:00,2024-08-20 15:30:00,Machine A2,102
103,2024-09-21 15:00:00,2024-09-21 16:19:00,Machine A3,103
104,2024-10-22 08:00:00,2024-10-22 10:37:00,Machine A4,104
105,2024-11-23 09:00:00,2024-11-23 10:56:00,Machine A0,105
106,2024-12-24 10:00:00,2024-12-24 11:18:00,Machine A1,106
107,2024-01-25 11:00:00,2024-01-25 12:54:00,Machine A2,107
108,2024-02-26 12:00:00,2024-02-26 13:01:00,Machine A3,108
109,2024-03-27 13:00:00,2024-03-27 15:20:00,Machine A4,109
110,2024-04-28 14:00:00,2024-04-28 16:18:00,Machine A0,110
111,2024-05-01 15:00:00,2024-05-01 16:18:00,Machine A1,111
112,2024-06-02 08:00:00,2024-06-02 09:39:00,Machine A2,112
113,2024-07-03 09:00:00,2024-07-03 11:04:00,Machine A3,113
114,2024-08-04 10:00:00,2024-08-04 12:33:00,Machine A4,114
115,2024-09-05 11:00:00,2024-09-05 12:19:00,Machine A0,115
116,2024-10-06 12:00:00,2024-10-06 13:16:00,Machine A1,116
117,2024-11-07 13:00:00,2024-11-07 14:57:00,Machine A2,117
118,2024-12-08 14:00:00,2024-12-08 15:28:00,Machine A3,118
119,2024-01-09 15:00:00,2024-01-09 17:16:00,Machine A4,119
120,2024-02-10 08:00:00,2024-02-10 10:18:00,Machine A0,120
121,2024-03-11 09:00:00,2024-03-11 11:50:00,Machine A1,121
122,2024-04-12 10:00:00,2024-04-12 12:43:00,Machine A2,122
123,2024-05-13 11:00:00,2024-05-13 12:10:00,Machine A3,123
124,2024-06-14 12:00:00,2024-06-14 13:51:00,Machine A4,124
125,2024-07-15 13:00:00,2024-07-15 15:22:00,Machine A0,125
126,2024-08-16 14:00:00,2024-08-16 15:08:00,Machine A1,126
127,2024-09-17 15:00:00,2024-09-17 17:13:00,Machine A2,127
128,2024-10-18 08:00:00,2024-10-18 10:38:00,Machine A3,128
129,2024-11-19 09:00:00,2024-11-19 11:32:00,Machine A4,129
130,2024-12-20 10:00:00,2024-12-20 11:17:00,Machine A0,130
131,2024-01-21 11:00:00,2024-01-21 13:56:00,Machine A1,131
132,2024-02-22 12:00:00,2024-02-22 14:28:00,Machine A2,132
133,2024-03-23 13:00:00,2024-03-23 15:16:00,Machine A3,133
134,2024-04-24 14:00:00,2024-04-24 15:59:00,Machine A4,134
135,2024-05-25 15:00:00,2024-05-25 17:37:00,Machine A0,135
136,2024-06-26 08:00:00,2024-06-26 10:28:00,Machine A1,136
137,2024-07-27 09:00:00,2024-07-27 10:53:00,Machine A2,137
138,2024-08-28 10:00:00,2024-08-28 11:37:00,Machine A3,138
139,2024-09-01 11:00:00,2024-09-01 13:00:00,Machine A4,139
140,2024-10-02 12:00:00,2024-10-02 13:42:00,Machine A0,140
141,2024-11-03 13:00:00,2024-11-03 14:17:00,Machine A1,141
142,2024-12-04 14:00:00,2024-12-04 15:12:00,Machine A2,142
143,2024-01-05 15:00:00,2024-01-05 17:12:00,Machine A3,143
144,2024-02-06 08:00:00,2024-02-06 10:50:00,Machine A4,144
145,2024-03-07 09:00:00,2024-03-07 11:08:00,Machine A0,145
146,2024-04-08 10:00:00,2024-04-08 11:17:00,Machine A1,146
147,2024-05-09 11:00:00,2024-05-09 12:46:00,Machine A2,147
148,2024-06-10 12:00:00,2024-06-10 13:28:00,Machine A3,148
149,2024-07-11 13:00:00,2024-07-11 15:18:00,Machine A4,149
150,2024-08-12 14:00:00,2024-08-12 15:06:00,Machine A0,150
151,2024-09-13 15:00:00,2024-09-13 16:53:00,Machine A1,151
152,2024-10-14 08:00:00,2024-10-14 09:36:00,Machine A2,152
153,2024-11-15 09:00:00,2024-11-15 10:00:00,Machine A3,153
154,2024-12-16 10:00:00,2024-12-16 11:27:00,Machine A4,154
155,2024-01-17 11:00:00,2024-01-17 12:17:00,Machine A0,155
156,2024-02-18 12:00:00,2024-02-18 13:19:00,Machine A1,156
157,2024-03-19 13:00:00,2024-03-19 14:19:00,Machine A2,157
158,2024-04-20 14:00:00,2024-04-20 15:21:00,Machine A3,158
159,2024-05-21 15:00:00,2024-05-21 16:01:00,Machine A4,159
160,2024-06-22 08:00:00,2024-06-22 10:39:00,Machine A0,160
161,2024-07-23 09:00:00,2024-07-23 11:02:00,Machine A1,161
162,2024-08-24 10:00:00,2024-08-24 12:52:00,Machine A2,162
163,2024-09-25 11:00:00,2024-09-25 13:32:00,Machine A3,163
164,2024-10-26 12:00:00,2024-10-26 13:33:00,Machine A4,164
165,2024-11-27 13:00:00,2024-11-27 15:42:00,Machine A0,165
166,2024-12-28 14:00:00,2024-12-28 15:45:00,Machine A1,166
167,2024-01-01 15:00:00,2024-01-01 17:41:00,Machine A2,167
168,2024-02-02 08:00:00,2024-02-02 09:29:00,Machine A3,168
169,2024-03-03 09:00:00,2024-03-03 10:28:00,Machine A4,169
170,2024-04-04 10:00:00,2024-04-04 11:16:00,Machine A0,170
171,2024-05-05 11:00:00,2024-05-05 13:30:00,Machine A1,171
172,2024-06-06 12:00:00,2024-06-06 14:23:00,Machine A2,172
173,2024-07-07 13:00:00,2024-07-07 14:08:00,Machine A3,173
174,2024-08-08 14:00:00,2024-08-08 16:56:00,Machine A4,174
175,2024-09-09 15:00:00,2024-09-09 17:58:00,Machine A0,175
176,2024-10-10 08:00:00,2024-10-10 10:39:00,Machine A1,176
177,2024-11-11 09:00:00,2024-11-11 10:41:00,Machine A2,177
178,2024-12-12 10:00:00,2024-12-12 12:28:00,Machine A3,178
179,2024-01-13 11:00:00,2024-01-13 12:47:00,Machine A4,179
180,2024-02-14 12:00:00,2024-02-14 14:18:00,Machine A0,180
181,2024-03-15 13:00:00,2024-03-15 15:29:00,Machine A1,181
182,2024-04-16 14:00:00,2024-04-16 15:40:00,Machine A2,182
183,2024-05-17 15:00:00,2024-05-17 16:29:00,Machine A3,183
184,2024-06-18 08:00:00,2024-06-18 09:35:00,Machine A4,184
185,2024-07-19 09:00:00,2024-07-19 10:42:00,Machine A0,185
186,2024-08-20 10:00:00,2024-08-20 11:18:00,Machine A1,186
187,2024-09-21 11:00:00,2024-09-21 13:20:00,Machine A2,187
188,2024-10-22 12:00:00,2024-10-22 14:22:00,Machine A3,188
189,2024-11-23 13:00:00,2024-11-23 14:15:00,Machine A4,189
190,2024-12-24 14:00:00,2024-12-24 16:35:00,Machine A0,190
191,2024-01-25 15:00:00,2024-01-25 16:48:00,Machine A1,191
192,2024-02-26 08:00:00,2024-02-26 09:46:00,Machine A2,192
193,2024-03-27 09:00:00,2024-03-27 11:38:00,Machine A3,193
194,2024-04-28 10:00:00,2024-04-28 11:06:00,Machine A4,194
195,2024-05-01 11:00:00,2024-05-01 12:23:00,Machine A0,195
196,2024-06-02 12:00:00,2024-06-02 13:59:00,Machine A1,196
197,2024-07-03 13:00:00,2024-07-03 14:02:00,Machine A2,197
198,2024-08-04 14:00:00,2024-08-04 15:45:00,Machine A3,198
199,2024-09-05 15:00:00,2024-09-05 17:35:00,Machine A4,199
200,2024-10-06 08:00:00,2024-10-06 09:28:00,Machine A0,200
201,2024-11-07 09:00:00,2024-11-07 11:59:00,Machine A1,201
202,2024-12-08 10:00:00,2024-12-08 11:24:00,Machine A2,202
203,2024-01-09 11:00:00,2024-01-09 13:16:00,Machine A3,203
204,2024-02-10 12:00:00,2024-02-10 14:32:00,Machine A4,204
205,2024-03-11 13:00:00,2024-03-11 15:56:00,Machine A0,205
206,2024-04-12 14:00:00,2024-04-12 15:20:00,Machine A1,206
207,2024-05-13 15:00:00,2024-05-13 16:25:00,Machine A2,207
208,2024-06-14 08:00:00,2024-06-14 09:53:00,Machine A3,208
209,2024-07-15 09:00:00,2024-07-15 12:00:00,Machine A4,209
210,2024-08-16 10:00:00,2024-08-16 12:47:00,Machine A0,210
211,2024-09-17 11:00:00,2024-09-17 13:54:00,Machine A1,211
212,2024-10-18 12:00:00,2024-10-18 13:54:00,Machine A2,212
213,2024-11-19 13:00:00,2024-11-19 15:31:00,Machine A3,213
214,2024-12-20 14:00:00,2024-12-20 16:23:00,Machine A4,214
215,2024-01-21 15:00:00,2024-01-21 16:21:00,Machine A0,215
216,2024-02-22 08:00:00,2024-02-22 09:10:00,Machine A1,216
217,2024-03-23 09:00:00,2024-03-23 11:51:00,Machine A2,217
218,2024-04-24 10:00:00,2024-04-24 11:20:00,Machine A3,218
219,2024-05-25 11:00:00,2024-05-25 12:20:00,Machine A4,219
220,2024-06-26 12:00:00,2024-06-26 14:37:00,Machine A0,220
221,2024-07-27 13:00:00,2024-07-27 14:28:00,Machine A1,221
222,2024-08-28 14:00:00,2024-08-28 16:29:00,Machine A2,222
223,2024-09-01 15:00:00,2024-09-01 16:40:00,Machine A3,223
224,2024-10-02 08:00:00,2024-10-02 09:15:00,Machine A4,224
225,2024-11-03 09:00:00,2024-11-03 11:28:00,Machine A0,225
226,2024-12-04 10:00:00,2024-12-04 12:15:00,Machine A1,226
227,2024-01-05 11:00:00,2024-01-05 12:15:00,Machine A2,227
228,2024-02-06 12:00:00,2024-02-06 14:39:00,Machine A3,228
229,2024-03-07 13:00:00,2024-03-07 15:58:00,Machine A4,229
230,2024-04-08 14:00:00,2024-04-08 15:36:00,Machine A0,230
231,2024-05-09 15:00:00,2024-05-09 17:14:00,Machine A1,231
232,2024-06-10 08:00:00,2024-06-10 09:30:00,Machine A2,232
233,2024-07-11 09:00:00,2024-07-11 11:53:00,Machine A3,233
234,2024-08-12 10:00:00,2024-08-12 11:55:00,Machine A4,234
235,2024-09-13 11:00:00,2024-09-13 12:55:00,Machine A0,235
236,2024-10-14 12:00:00,2024-10-14 13:27:00,Machine A1,236
237,2024-11-15 13:00:00,2024-11-15 14:13:00,Machine A2,237
238,2024-12-16 14:00:00,2024-12-16 16:38:00,Machine A3,238
239,2024-01-17 15:00:00,2024-01-17 17:10:00,Machine A4,239
240,2024-02-18 08:00:00,2024-02-18 10:00:00,Machine A0,240
241,2024-03-19 09:00:00,2024-03-19 10:15:00,Machine A1,241
242,2024-04-20 10:00:00,2024-04-20 12:32:00,Machine A2,242
243,2024-05-21 11:00:00,2024-05-21 12:23:00,Machine A3,243
244,2024-06-22 12:00:00,2024-06-22 14:21:00,Machine A4,244
245,2024-07-23 13:00:00,2024-07-23 15:45:00,Machine A0,245
246,2024-08-24 14:00:00,2024-08-24 16:08:00,Machine A1,246
247,2024-09-25 15:00:00,2024-09-25 17:30:00,Machine A2,247
248,2024-10-26 08:00:00,2024-10-26 10:53:00,Machine A3,248
249,2024-11-27 09:00:00,2024-11-27 11:50:00,Machine A4,249
250,2024-12-28 10:00:00,2024-12-28 12:56:00,Machine A0,250
251,2024-01-01 11:00:00,2024-01-01 12:41:00,Machine A1,251
252,2024-02-02 12:00:00,2024-02-02 13:07:00,Machine A2,252
253,2024-03-03 13:00:00,2024-03-03 15:48:00,Machine A3,253
254,2024-04-04 14:00:00,2024-04-04 16:12:00,Machine A4,254
255,2024-05-05 15:00:00,2024-05-05 17:01:00,Machine A0,255
256,2024-06-06 08:00:00,2024-06-06 10:30:00,Machine A1,256
257,2024-07-07 09:00:00,2024-07-07 11:06:00,Machine A2,257
258,2024-08-08 10:00:00,2024-08-08 12:53:00,Machine A3,258
259,2024-09-09 11:00:00,2024-09-09 13:35:00,Machine A4,259
260,2024-10-10 12:00:00,2024-10-10 13:39:00,Machine A0,260
261,2024-11-11 13:00:00,2024-11-11 14:37:00,Machine A1,261
262,2024-12-12 14:00:00,2024-12-12 16:54:00,Machine A2,262
263,2024-01-13 15:00:00,2024-01-13 16:00:00,Machine A3,263
264,2024-02-14 08:00:00,2024-02-14 10:02:00,Machine A4,264
265,2024-03-15 09:00:00,2024-03-15 10:04:00,Machine A0,265
266,2024-04-16 10:00:00,2024-04-16 11:39:00,Machine A1,266
267,2024-05-17 11:00:00,2024-05-17 12:55:00,Machine A2,267
268,2024-06-18 12:00:00,2024-06-18 13:04:00,Machine A3,268
269,2024-07-19 13:00:00,2024-07-19 14:30:00,Machine A4,269
270,2024-08-20 14:00:00,2024-08-20 15:39:00,Machine A0,270
271,2024-09-21 15:00:00,2024-09-21 17:33:00,Machine A1,271
272,2024-10-22 08:00:00,2024-10-22 10:42:00,Machine A2,272
273,2024-11-23 09:00:00,2024-11-23 11:38:00,Machine A3,273
274,2024-12-24 10:00:00,2024-12-24 11:23:00,Machine A4,274
275,2024-01-25 11:00:00,2024-01-25 12:52:00,Machine A0,275
276,2024-02-26 12:00:00,2024-02-26 13:21:00,Machine A1,276
277,2024-03-27 13:00:00,2024-03-27 15:32:00,Machine A2,277
278,2024-04-28 14:00:00,2024-04-28 15:31:00,Machine A3,278
279,2024-05-01 15:00:00,2024-05-01 16:52:00,Machine A4,279
280,2024-06-02 08:00:00,2024-06-02 10:32:00,Machine A0,280
281,2024-07-03 09:00:00,2024-07-03 10:54:00,Machine A1,281
282,2024-08-04 10:00:00,2024-08-04 12:42:00,Machine A2,282
283,2024-09-05 11:00:00,2024-09-05 13:31:00,Machine A3,283
284,2024-10-06 12:00:00,2024-10-06 13:01:00,Machine A4,284
285,2024-11-07 13:00:00,2024-11-07 14:23:00,Machine A0,285
286,2024-12-08 14:00:00,2024-12-08 16:23:00,Machine A1,286
287,2024-01-09 15:00:00,2024-01-09 16:01:00,Machine A2,287
288,2024-02-10 08:00:00,2024-02-10 09:55:00,Machine A3,288
289,2024-03-11 09:00:00,2024-03-11 10:29:00,Machine A4,289
290,2024-04-12 10:00:00,2024-04-12 11:18:00,Machine A0,290
291,2024-05-13 11:00:00,2024-05-13 12:31:00,Machine A1,291
292,2024-06-14 12:00:00,2024-06-14 14:48:00,Machine A2,292
293,2024-07-15 13:00:00,2024-07-15 15:06:00,Machine A3,293
294,2024-08-16 14:00:00,2024-08-16 16:15:00,Machine A4,294
295,2024-09-17 15:00:00,2024-09-17 17:16:00,Machine A0,295
296,2024-10-18 08:00:00,2024-10-18 10:51:00,Machine A1,296
297,2024-11-19 09:00:00,2024-11-19 10:17:00,Machine A2,297
298,2024-12-20 10:00:00,2024-12-20 12:03:00,Machine A3,298
299,2024-01-21 11:00:00,2024-01-21 12:57:00,Machine A4,299
300,2024-02-22 12:00:00,2024-02-22 13:38:00,Machine A0,300
301,2024-03-23 13:00:00,2024-03-23 14:59:00,Machine A1,301
302,2024-04-24 14:00:00,2024-04-24 15:41:00,Machine A2,302
303,2024-05-25 15:00:00,2024-05-25 16:45:00,Machine A3,303
304,2024-06-26 08:00:00,2024-06-26 10:20:00,Machine A4,304
305,2024-07-27 09:00:00,2024-07-27 12:00:00,Machine A0,305
306,2024-08-28 10:00:00,2024-08-28 11:38:00,Machine A1,306
307,2024-09-01 11:00:00,2024-09-01 12:33:00,Machine A2,307
308,2024-10-02 12:00:00,2024-10-02 13:28:00,Machine A3,308
309,2024-11-03 13:00:00,2024-11-03 14:27:00,Machine A4,309
310,2024-12-04 14:00:00,2024-12-04 15:22:00,Machine A0,310
311,2024-01-05 15:00:00,2024-01-05 16:00:00,Machine A1,311
312,2024-02-06 08:00:00,2024-02-06 09:03:00,Machine A2,312
313,2024-03-07 09:00:00,2024-03-07 11:33:00,Machine A3,313
314,2024-04-08 10:00:00,2024-04-08 11:28:00,Machine A4,314
315,2024-05-09 11:00:00,2024-05-09 12:24:00,Machine A0,315
316,2024-06-10 12:00:00,2024-06-10 14:00:00,Machine A1,316
317,2024-07-11 13:00:00,2024-07-11 15:11:00,Machine A2,317
318,2024-08-12 14:00:00,2024-08-12 16:50:00,Machine A3,318
319,2024-09-13 15:00:00,2024-09-13 16:35:00,Machine A4,319
320,2024-10-14 08:00:00,2024-10-14 10:55:00,Machine A0,320
321,2024-11-15 09:00:00,2024-11-15 10:57:00,Machine A1,321
322,2024-12-16 10:00:00,2024-12-16 11:21:00,Machine A2,322
323,2024-01-17 11:00:00,2024-01-17 12:36:00,Machine A3,323
324,2024-02-18 12:00:00,2024-02-18 13:06:00,Machine A4,324
325,2024-03-19 13:00:00,2024-03-19 15:42:00,Machine A0,325
326,2024-04-20 14:00:00,2024-04-20 16:40:00,Machine A1,326
327,2024-05-21 15:00:00,2024-05-21 16:28:00,Machine A2,327
328,2024-06-22 08:00:00,2024-06-22 10:40:00,Machine A3,328
329,2024-07-23 09:00:00,2024-07-23 11:52:00,Machine A4,329
330,2024-08-24 10:00:00,2024-08-24 12:26:00,Machine A0,330
331,2024-09-25 11:00:00,2024-09-25 12:58:00,Machine A1,331
332,2024-10-26 12:00:00,2024-10-26 13:47:00,Machine A2,332
333,2024-11-27 13:00:00,2024-11-27 15:46:00,Machine A3,333
334,2024-12-28 14:00:00,2024-12-28 15:27:00,Machine A4,334
335,2024-01-01 15:00:00,2024-01-01 16:17:00,Machine A0,335
336,2024-02-02 08:00:00,2024-02-02 10:57:00,Machine A1,336
337,2024-03-03 09:00:00,2024-03-03 10:09:00,Machine A2,337
338,2024-04-04 10:00:00,2024-04-04 12:06:00,Machine A3,338
339,2024-05-05 11:00:00,2024-05-05 13:41:00,Machine A4,339
340,2024-06-06 12:00:00,2024-06-06 14:04:00,Machine A0,340
341,2024-07-07 13:00:00,2024-07-07 15:48:00,Machine A1,341
342,2024-08-08 14:00:00,2024-08-08 16:12:00,Machine A2,342
343,2024-09-09 15:00:00,2024-09-09 17:01:00,Machine A3,343
344,2024-10-10 08:00:00,2024-10-10 10:52:00,Machine A4,344
345,2024-11-11 09:00:00,2024-11-11 10:38:00,Machine A0,345
346,2024-12-12 10:00:00,2024-12-12 12:17:00,Machine A1,346
347,2024-01-13 11:00:00,2024-01-13 13:26:00,Machine A2,347
348,2024-02-14 12:00:00,2024-02-14 13:24:00,Machine A3,348
349,2024-03-15 13:00:00,2024-03-15 15:58:00,Machine A4,349
350,2024-04-16 14:00:00,2024-04-16 16:29:00,Machine A0,350
351,2024-05-17 15:00:00,2024-05-17 16:59:00,Machine A1,351
352,2024-06-18 08:00:00,2024-06-18 09:57:00,Machine A2,352
353,2024-07-19 09:00:00,2024-07-19 10:06:00,Machine A3,353
354,2024-08-20 10:00:00,2024-08-20 12:01:00,Machine A4,354
355,2024-09-21 11:00:00,2024-09-21 13:12:00,Machine A0,355
356,2024-10-22 12:00:00,2024-10-22 14:47:00,Machine A1,356
357,2024-11-23 13:00:00,2024-11-23 15:56:00,Machine A2,357
358,2024-12-24 14:00:00,2024-12-24 16:08:00,Machine A3,358
359,2024-01-25 15:00:00,2024-01-25 16:38:00,Machine A4,359
360,2024-02-26 08:00:00,2024-02-26 11:00:00,Machine A0,360
361,2024-03-27 09:00:00,2024-03-27 11:59:00,Machine A1,361
362,2024-04-28 10:00:00,2024-04-28 12:59:00,Machine A2,362
363,2024-05-01 11:00:00,2024-05-01 13:58:00,Machine A3,363
364,2024-06-02 12:00:00,2024-06-02 13:17:00,Machine A4,364
365,2024-07-03 13:00:00,2024-07-03 15:22:00,Machine A0,365
366,2024-08-04 14:00:00,2024-08-04 15:25:00,Machine A1,366
367,2024-09-05 15:00:00,2024-09-05 16:27:00,Machine A2,367
368,2024-10-06 08:00:00,2024-10-06 09:49:00,Machine A3,368
369,2024-11-07 09:00:00,2024-11-07 11:45:00,Machine A4,369
370,2024-12-08 10:00:00,2024-12-08 11:23:00,Machine A0,370
371,2024-01-09 11:00:00,2024-01-09 13:59:00,Machine A1,371
372,2024-02-10 12:00:00,2024-02-10 13:50:00,Machine A2,372
373,2024-03-11 13:00:00,2024-03-11 15:28:00,Machine A3,373
374,2024-04-12 14:00:00,2024-04-12 15:28:00,Machine A4,374
375,2024-05-13 15:00:00,2024-05-13 17:32:00,Machine A0,375
376,2024-06-14 08:00:00,2024-06-14 10:19:00,Machine A1,376
377,2024-07-15 09:00:00,2024-07-15 11:53:00,Machine A2,377
378,2024-08-16 10:00:00,2024-08-16 11:31:00,Machine A3,378
379,2024-09-17 11:00:00,2024-09-17 13:16:00,Machine A4,379
380,2024-10-18 12:00:00,2024-10-18 14:40:00,Machine A0,380
381,2024-11-19 13:00:00,2024-11-19 14:47:00,Machine A1,381
382,2024-12-20 14:00:00,2024-12-20 16:51:00,Machine A2,382
383,2024-01-21 15:00:00,2024-01-21 17:27:00,Machine A3,383
384,2024-02-22 08:00:00,2024-02-22 10:16:00,Machine A4,384
385,2024-03-23 09:00:00,2024-03-23 10:51:00,Machine A0,385
386,2024-04-24 10:00:00,2024-04-24 11:54:00,Machine A1,386
