PackagingID,P_DatumTijdStart,P_DatumTijdEind,P_Machine,AantalStuksPerDoos,BatchID
41,2024-09-17 15:30:00,2024-09-17 17:02:00,Machine C1,13,41
42,2024-10-18 10:30:00,2024-10-18 12:04:00,Machine C2,8,42
43,2024-11-19 11:30:00,2024-11-19 13:21:00,Machine C3,6,43
44,2024-12-20 12:30:00,2024-12-20 14:24:00,Machine C4,7,44
45,2024-01-21 13:30:00,2024-01-21 14:54:00,Machine C0,16,45
46,2024-02-22 14:30:00,2024-02-22 16:33:00,Machine C1,7,46
47,2024-03-23 15:30:00,2024-03-23 17:27:00,Machine C2,13,47
48,2024-04-24 10:30:00,2024-04-24 12:29:00,Machine C3,7,48
49,2024-05-25 11:30:00,2024-05-25 12:36:00,Machine C4,12,49
50,2024-06-26 12:30:00,2024-06-26 14:41:00,Machine C0,12,50
51,2024-07-27 13:30:00,2024-07-27 15:22:00,Machine C1,9,51
52,2024-08-28 14:30:00,2024-08-28 15:49:00,Machine C2,8,52
53,2024-09-01 15:30:00,2024-09-01 18:10:00,Machine C3,15,53
54,2024-10-02 10:30:00,2024-10-02 12:47:00,Machine C4,18,54
55,2024-11-03 11:30:00,2024-11-03 12:56:00,Machine C0,19,55
56,2024-12-04 12:30:00,2024-12-04 14:12:00,Machine C1,5,56
57,2024-01-05 13:30:00,2024-01-05 15:29:00,Machine C2,9,57
58,2024-02-06 14:30:00,2024-02-06 16:13:00,Machine C3,15,58
59,2024-03-07 15:30:00,2024-03-07 18:24:00,Machine C4,19,59
60,2024-04-08 10:30:00,2024-04-08 12:07:00,Machine C0,18,60
61,2024-05-09 11:30:00,2024-05-09 13:58:00,Machine C1,11,61
62,2024-06-10 12:30:00,2024-06-10 13:40:00,Machine C2,15,62
63,2024-07-11 13:30:00,2024-07-11 15:54:00,Machine C3,5,63
64,2024-08-12 14:30:00,2024-08-12 17:28:00,Machine C4,12,64
65,2024-09-13 15:30:00,2024-09-13 17:05:00,Machine C0,10,65
66,2024-10-14 10:30:00,2024-10-14 12:39:00,Machine C1,10,66
67,2024-11-15 11:30:00,2024-11-15 12:34:00,Machine C2,10,67
68,2024-12-16 12:30:00,2024-12-16 15:18:00,Machine C3,17,68
69,2024-01-17 13:30:00,2024-01-17 15:12:00,Machine C4,10,69
70,2024-02-18 14:30:00,2024-02-18 15:44:00,Machine C0,11,70
71,2024-03-19 15:30:00,2024-03-19 18:04:00,Machine C1,18,71
72,2024-04-20 10:30:00,2024-04-20 12:31:00,Machine C2,17,72
73,2024-05-21 11:30:00,2024-05-21 14:00:00,Machine C3,17,73
74,2024-06-22 12:30:00,2024-06-22 14:48:00,Machine C4,8,74
75,2024-07-23 13:30:00,2024-07-23 15:08:00,Machine C0,19,75
76,2024-08-24 14:30:00,2024-08-24 16:33:00,Machine C1,18,76
77,2024-09-25 15:30:00,2024-09-25 17:47:00,Machine C2,19,77
78,2024-10-26 10:30:00,2024-10-26 13:07:00,Machine C3,16,78
79,2024-11-27 11:30:00,2024-11-27 13:08:00,Machine C4,8,79
80,2024-12-28 12:30:00,2024-12-28 13:35:00,Machine C0,12,80
81,2024-01-01 13:30:00,2024-01-01 14:45:00,Machine C1,7,81
82,2024-02-02 14:30:00,2024-02-02 16:55:00,Machine C2,13,82
83,2024-03-03 15:30:00,2024-03-03 18:15:00,Machine C3,17,83
84,2024-04-04 10:30:00,2024-04-04 13:20:00,Machine C4,14,84
85,2024-05-05 11:30:00,2024-05-05 13:14:00,Machine C0,17,85
86,2024-06-06 12:30:00,2024-06-06 14:39:00,Machine C1,10,86
87,2024-07-07 13:30:00,2024-07-07 15:00:00,Machine C2,18,87
88,2024-08-08 14:30:00,2024-08-08 15:44:00,Machine C3,13,88
89,2024-09-09 15:30:00,2024-09-09 17:03:00,Machine C4,11,89
90,2024-10-10 10:30:00,2024-10-10 13:26:00,Machine C0,16,90
91,2024-11-11 11:30:00,2024-11-11 14:21:00,Machine C1,10,91
92,2024-12-12 12:30:00,2024-12-12 13:37:00,Machine C2,8,92
93,2024-01-13 13:30:00,2024-01-13 16:07:00,Machine C3,11,93
94,2024-02-14 14:30:00,2024-02-14 16:23:00,Machine C4,18,94
95,2024-03-15 15:30:00,2024-03-15 18:25:00,Machine C0,13,95
96,2024-04-16 10:30:00,2024-04-16 12:26:00,Machine C1,10,96
97,2024-05-17 11:30:00,2024-05-17 12:51:00,Machine C2,6,97
98,2024-06-18 12:30:00,2024-06-18 14:11:00,Machine C3,6,98
99,2024-07-19 13:30:00,2024-07-19 15:43:00,Machine C4,10,99
100,2024-08-20 14:30:00,2024-08-20 17:00:00,Machine C0,7,100
101,2024-09-21 15:30:00,2024-09-21 18:16:00,Machine C1,16,101
102,2024-10-22 10:30:00,2024-10-22 13:24:00,Machine C2,17,102
103,2024-11-23 11:30:00,2024-11-23 13:48:00,Machine C3,11,103
104,2024-12-24 12:30:00,2024-12-24 13:37:00,Machine C4,15,104
105,2024-01-25 13:30:00,2024-01-25 16:23:00,Machine C0,18,105
106,2024-02-26 14:30:00,2024-02-26 16:15:00,Machine C1,17,106
107,2024-03-27 15:30:00,2024-03-27 17:35:00,Machine C2,9,107
108,2024-04-28 10:30:00,2024-04-28 11:51:00,Machine C3,16,108
109,2024-05-01 11:30:00,2024-05-01 13:46:00,Machine C4,18,109
110,2024-06-02 12:30:00,2024-06-02 13:30:00,Machine C0,17,110
111,2024-07-03 13:30:00,2024-07-03 16:03:00,Machine C1,7,111
112,2024-08-04 14:30:00,2024-08-04 16:52:00,Machine C2,10,112
113,2024-09-05 15:30:00,2024-09-05 17:58:00,Machine C3,7,113
114,2024-10-06 10:30:00,2024-10-06 12:57:00,Machine C4,16,114
115,2024-11-07 11:30:00,2024-11-07 12:40:00,Machine C0,5,115
116,2024-12-08 12:30:00,2024-12-08 13:38:00,Machine C1,10,116
117,2024-01-09 13:30:00,2024-01-09 16:14:00,Machine C2,8,117
118,2024-02-10 14:30:00,2024-02-10 17:07:00,Machine C3,12,118
119,2024-03-11 15:30:00,2024-03-11 18:09:00,Machine C4,15,119
120,2024-04-12 10:30:00,2024-04-12 12:20:00,Machine C0,18,120
121,2024-05-13 11:30:00,2024-05-13 12:38:00,Machine C1,12,121
122,2024-06-14 12:30:00,2024-06-14 14:10:00,Machine C2,11,122
123,2024-07-15 13:30:00,2024-07-15 15:03:00,Machine C3,8,123
124,2024-08-16 14:30:00,2024-08-16 17:22:00,Machine C4,7,124
125,2024-09-17 15:30:00,2024-09-17 18:09:00,Machine C0,8,125
126,2024-10-18 10:30:00,2024-10-18 12:05:00,Machine C1,5,126
127,2024-11-19 11:30:00,2024-11-19 14:11:00,Machine C2,19,127
128,2024-12-20 12:30:00,2024-12-20 13:32:00,Machine C3,11,128
129,2024-01-21 13:30:00,2024-01-21 15:05:00,Machine C4,6,129
130,2024-02-22 14:30:00,2024-02-22 15:30:00,Machine C0,13,130
131,2024-03-23 15:30:00,2024-03-23 17:56:00,Machine C1,19,131
132,2024-04-24 10:30:00,2024-04-24 12:49:00,Machine C2,13,132
133,2024-05-25 11:30:00,2024-05-25 14:03:00,Machine C3,5,133
134,2024-06-26 12:30:00,2024-06-26 15:24:00,Machine C4,20,134
135,2024-07-27 13:30:00,2024-07-27 14:53:00,Machine C0,15,135
136,2024-08-28 14:30:00,2024-08-28 17:28:00,Machine C1,19,136
137,2024-09-01 15:30:00,2024-09-01 17:04:00,Machine C2,18,137
138,2024-10-02 10:30:00,2024-10-02 11:36:00,Machine C3,5,138
139,2024-11-03 11:30:00,2024-11-03 12:39:00,Machine C4,6,139
140,2024-12-04 12:30:00,2024-12-04 14:03:00,Machine C0,5,140
141,2024-01-05 13:30:00,2024-01-05 15:23:00,Machine C1,10,141
142,2024-02-06 14:30:00,2024-02-06 15:48:00,Machine C2,17,142
143,2024-03-07 15:30:00,2024-03-07 17:47:00,Machine C3,19,143
144,2024-04-08 10:30:00,2024-04-08 12:16:00,Machine C4,20,144
145,2024-05-09 11:30:00,2024-05-09 14:18:00,Machine C0,12,145
146,2024-06-10 12:30:00,2024-06-10 15:29:00,Machine C1,10,146
147,2024-07-11 13:30:00,2024-07-11 14:59:00,Machine C2,10,147
148,2024-08-12 14:30:00,2024-08-12 16:15:00,Machine C3,9,148
149,2024-09-13 15:30:00,2024-09-13 17:11:00,Machine C4,15,149
150,2024-10-14 10:30:00,2024-10-14 11:47:00,Machine C0,19,150
151,2024-11-15 11:30:00,2024-11-15 12:57:00,Machine C1,11,151
152,2024-12-16 12:30:00,2024-12-16 15:24:00,Machine C2,6,152
153,2024-01-17 13:30:00,2024-01-17 15:59:00,Machine C3,8,153
154,2024-02-18 14:30:00,2024-02-18 16:27:00,Machine C4,10,154
155,2024-03-19 15:30:00,2024-03-19 18:18:00,Machine C0,14,155
156,2024-04-20 10:30:00,2024-04-20 11:34:00,Machine C1,14,156
157,2024-05-21 11:30:00,2024-05-21 13:07:00,Machine C2,10,157
158,2024-06-22 12:30:00,2024-06-22 13:46:00,Machine C3,5,158
159,2024-07-23 13:30:00,2024-07-23 15:35:00,Machine C4,6,159
160,2024-08-24 14:30:00,2024-08-24 16:45:00,Machine C0,19,160
161,2024-09-25 15:30:00,2024-09-25 18:29:00,Machine C1,19,161
162,2024-10-26 10:30:00,2024-10-26 11:58:00,Machine C2,15,162
163,2024-11-27 11:30:00,2024-11-27 12:53:00,Machine C3,15,163
164,2024-12-28 12:30:00,2024-12-28 14:53:00,Machine C4,14,164
165,2024-01-01 13:30:00,2024-01-01 16:29:00,Machine C0,15,165
166,2024-02-02 14:30:00,2024-02-02 17:08:00,Machine C1,16,166
167,2024-03-03 15:30:00,2024-03-03 18:05:00,Machine C2,16,167
168,2024-04-04 10:30:00,2024-04-04 13:07:00,Machine C3,9,168
169,2024-05-05 11:30:00,2024-05-05 12:44:00,Machine C4,12,169
170,2024-06-06 12:30:00,2024-06-06 15:28:00,Machine C0,20,170
171,2024-07-07 13:30:00,2024-07-07 16:16:00,Machine C1,7,171
172,2024-08-08 14:30:00,2024-08-08 17:19:00,Machine C2,10,172
173,2024-09-09 15:30:00,2024-09-09 17:40:00,Machine C3,7,173
174,2024-10-10 10:30:00,2024-10-10 13:30:00,Machine C4,11,174
175,2024-11-11 11:30:00,2024-11-11 13:04:00,Machine C0,16,175
176,2024-12-12 12:30:00,2024-12-12 14:31:00,Machine C1,20,176
177,2024-01-13 13:30:00,2024-01-13 14:36:00,Machine C2,14,177
178,2024-02-14 14:30:00,2024-02-14 16:13:00,Machine C3,20,178
179,2024-03-15 15:30:00,2024-03-15 17:25:00,Machine C4,12,179
180,2024-04-16 10:30:00,2024-04-16 13:06:00,Machine C0,20,180
181,2024-05-17 11:30:00,2024-05-17 13:31:00,Machine C1,5,181
182,2024-06-18 12:30:00,2024-06-18 15:08:00,Machine C2,11,182
183,2024-07-19 13:30:00,2024-07-19 14:59:00,Machine C3,8,183
184,2024-08-20 14:30:00,2024-08-20 16:26:00,Machine C4,9,184
185,2024-09-21 15:30:00,2024-09-21 17:45:00,Machine C0,13,185
186,2024-10-22 10:30:00,2024-10-22 13:13:00,Machine C1,8,186
187,2024-11-23 11:30:00,2024-11-23 14:19:00,Machine C2,14,187
188,2024-12-24 12:30:00,2024-12-24 13:57:00,Machine C3,19,188
189,2024-01-25 13:30:00,2024-01-25 16:22:00,Machine C4,11,189
190,2024-02-26 14:30:00,2024-02-26 16:42:00,Machine C0,15,190
191,2024-03-27 15:30:00,2024-03-27 16:33:00,Machine C1,18,191
192,2024-04-28 10:30:00,2024-04-28 11:39:00,Machine C2,20,192
193,2024-05-01 11:30:00,2024-05-01 13:55:00,Machine C3,16,193
194,2024-06-02 12:30:00,2024-06-02 15:24:00,Machine C4,14,194
195,2024-07-03 13:30:00,2024-07-03 14:31:00,Machine C0,19,195
196,2024-08-04 14:30:00,2024-08-04 15:48:00,Machine C1,14,196
197,2024-09-05 15:30:00,2024-09-05 16:31:00,Machine C2,11,197
198,2024-10-06 10:30:00,2024-10-06 13:18:00,Machine C3,20,198
199,2024-11-07 11:30:00,2024-11-07 13:15:00,Machine C4,12,199
200,2024-12-08 12:30:00,2024-12-08 14:14:00,Machine C0,20,200
201,2024-01-09 13:30:00,2024-01-09 16:02:00,Machine C1,7,201
202,2024-02-10 14:30:00,2024-02-10 17:22:00,Machine C2,11,202
203,2024-03-11 15:30:00,2024-03-11 17:36:00,Machine C3,9,203
204,2024-04-12 10:30:00,2024-04-12 12:54:00,Machine C4,18,204
205,2024-05-13 11:30:00,2024-05-13 13:11:00,Machine C0,9,205
206,2024-06-14 12:30:00,2024-06-14 13:39:00,Machine C1,11,206
207,2024-07-15 13:30:00,2024-07-15 15:46:00,Machine C2,18,207
208,2024-08-16 14:30:00,2024-08-16 16:48:00,Machine C3,14,208
209,2024-09-17 15:30:00,2024-09-17 17:40:00,Machine C4,5,209
210,2024-10-18 10:30:00,2024-10-18 12:33:00,Machine C0,18,210
211,2024-11-19 11:30:00,2024-11-19 12:39:00,Machine C1,20,211
212,2024-12-20 12:30:00,2024-12-20 14:14:00,Machine C2,18,212
213,2024-01-21 13:30:00,2024-01-21 15:42:00,Machine C3,20,213
214,2024-02-22 14:30:00,2024-02-22 15:52:00,Machine C4,7,214
215,2024-03-23 15:30:00,2024-03-23 16:56:00,Machine C0,9,215
216,2024-04-24 10:30:00,2024-04-24 12:13:00,Machine C1,13,216
217,2024-05-25 11:30:00,2024-05-25 13:26:00,Machine C2,16,217
218,2024-06-26 12:30:00,2024-06-26 14:07:00,Machine C3,16,218
219,2024-07-27 13:30:00,2024-07-27 14:41:00,Machine C4,18,219
220,2024-08-28 14:30:00,2024-08-28 16:57:00,Machine C0,7,220
221,2024-09-01 15:30:00,2024-09-01 16:40:00,Machine C1,5,221
222,2024-10-02 10:30:00,2024-10-02 13:06:00,Machine C2,12,222
223,2024-11-03 11:30:00,2024-11-03 14:03:00,Machine C3,11,223
224,2024-12-04 12:30:00,2024-12-04 13:54:00,Machine C4,13,224
225,2024-01-05 13:30:00,2024-01-05 16:04:00,Machine C0,20,225
226,2024-02-06 14:30:00,2024-02-06 17:25:00,Machine C1,5,226
227,2024-03-07 15:30:00,2024-03-07 16:34:00,Machine C2,20,227
228,2024-04-08 10:30:00,2024-04-08 11:43:00,Machine C3,16,228
229,2024-05-09 11:30:00,2024-05-09 14:13:00,Machine C4,8,229
230,2024-06-10 12:30:00,2024-06-10 13:38:00,Machine C0,18,230
231,2024-07-11 13:30:00,2024-07-11 15:56:00,Machine C1,11,231
232,2024-08-12 14:30:00,2024-08-12 15:52:00,Machine C2,11,232
233,2024-09-13 15:30:00,2024-09-13 18:13:00,Machine C3,15,233
234,2024-10-14 10:30:00,2024-10-14 12:07:00,Machine C4,8,234
235,2024-11-15 11:30:00,2024-11-15 12:38:00,Machine C0,7,235
236,2024-12-16 12:30:00,2024-12-16 15:01:00,Machine C1,8,236
237,2024-01-17 13:30:00,2024-01-17 15:14:00,Machine C2,14,237
238,2024-02-18 14:30:00,2024-02-18 16:28:00,Machine C3,11,238
239,2024-03-19 15:30:00,2024-03-19 18:25:00,Machine C4,19,239
240,2024-04-20 10:30:00,2024-04-20 12:34:00,Machine C0,18,240
241,2024-05-21 11:30:00,2024-05-21 12:57:00,Machine C1,17,241
242,2024-06-22 12:30:00,2024-06-22 14:39:00,Machine C2,10,242
243,2024-07-23 13:30:00,2024-07-23 14:47:00,Machine C3,15,243
244,2024-08-24 14:30:00,2024-08-24 16:14:00,Machine C4,12,244
245,2024-09-25 15:30:00,2024-09-25 16:43:00,Machine C0,7,245
246,2024-10-26 10:30:00,2024-10-26 12:15:00,Machine C1,18,246
247,2024-11-27 11:30:00,2024-11-27 14:03:00,Machine C2,14,247
248,2024-12-28 12:30:00,2024-12-28 14:08:00,Machine C3,14,248
249,2024-01-01 13:30:00,2024-01-01 16:20:00,Machine C4,5,249
250,2024-02-02 14:30:00,2024-02-02 17:18:00,Machine C0,7,250
251,2024-03-03 15:30:00,2024-03-03 16:30:00,Machine C1,18,251
252,2024-04-04 10:30:00,2024-04-04 12:51:00,Machine C2,16,252
253,2024-05-05 11:30:00,2024-05-05 14:29:00,Machine C3,15,253
254,2024-06-06 12:30:00,2024-06-06 15:04:00,Machine C4,8,254
255,2024-07-07 13:30:00,2024-07-07 15:19:00,Machine C0,5,255
256,2024-08-08 14:30:00,2024-08-08 16:19:00,Machine C1,6,256
257,2024-09-09 15:30:00,2024-09-09 18:18:00,Machine C2,7,257
258,2024-10-10 10:30:00,2024-10-10 13:27:00,Machine C3,19,258
259,2024-11-11 11:30:00,2024-11-11 14:27:00,Machine C4,20,259
260,2024-12-12 12:30:00,2024-12-12 14:48:00,Machine C0,12,260
261,2024-01-13 13:30:00,2024-01-13 15:38:00,Machine C1,9,261
262,2024-02-14 14:30:00,2024-02-14 16:33:00,Machine C2,10,262
263,2024-03-15 15:30:00,2024-03-15 16:57:00,Machine C3,5,263
264,2024-04-16 10:30:00,2024-04-16 11:59:00,Machine C4,12,264
265,2024-05-17 11:30:00,2024-05-17 14:29:00,Machine C0,17,265
266,2024-06-18 12:30:00,2024-06-18 15:03:00,Machine C1,8,266
267,2024-07-19 13:30:00,2024-07-19 15:34:00,Machine C2,14,267
268,2024-08-20 14:30:00,2024-08-20 16:13:00,Machine C3,16,268
269,2024-09-21 15:30:00,2024-09-21 17:50:00,Machine C4,20,269
270,2024-10-22 10:30:00,2024-10-22 12:36:00,Machine C0,14,270
271,2024-11-23 11:30:00,2024-11-23 14:09:00,Machine C1,10,271
272,2024-12-24 12:30:00,2024-12-24 15:04:00,Machine C2,14,272
273,2024-01-25 13:30:00,2024-01-25 15:17:00,Machine C3,16,273
274,2024-02-26 14:30:00,2024-02-26 16:16:00,Machine C4,20,274
275,2024-03-27 15:30:00,2024-03-27 18:06:00,Machine C0,14,275
276,2024-04-28 10:30:00,2024-04-28 12:58:00,Machine C1,8,276
277,2024-05-01 11:30:00,2024-05-01 14:06:00,Machine C2,13,277
278,2024-06-02 12:30:00,2024-06-02 14:19:00,Machine C3,12,278
279,2024-07-03 13:30:00,2024-07-03 15:54:00,Machine C4,12,279
280,2024-08-04 14:30:00,2024-08-04 15:44:00,Machine C0,11,280
281,2024-09-05 15:30:00,2024-09-05 16:51:00,Machine C1,14,281
282,2024-10-06 10:30:00,2024-10-06 13:25:00,Machine C2,10,282
283,2024-11-07 11:30:00,2024-11-07 13:59:00,Machine C3,17,283
284,2024-12-08 12:30:00,2024-12-08 14:46:00,Machine C4,19,284
285,2024-01-09 13:30:00,2024-01-09 14:47:00,Machine C0,16,285
286,2024-02-10 14:30:00,2024-02-10 16:20:00,Machine C1,6,286
287,2024-03-11 15:30:00,2024-03-11 16:55:00,Machine C2,6,287
288,2024-04-12 10:30:00,2024-04-12 12:36:00,Machine C3,16,288
289,2024-05-13 11:30:00,2024-05-13 12:44:00,Machine C4,10,289
290,2024-06-14 12:30:00,2024-06-14 15:01:00,Machine C0,18,290
291,2024-07-15 13:30:00,2024-07-15 15:19:00,Machine C1,7,291
292,2024-08-16 14:30:00,2024-08-16 15:45:00,Machine C2,18,292
293,2024-09-17 15:30:00,2024-09-17 17:14:00,Machine C3,19,293
294,2024-10-18 10:30:00,2024-10-18 12:41:00,Machine C4,7,294
295,2024-11-19 11:30:00,2024-11-19 14:21:00,Machine C0,12,295
296,2024-12-20 12:30:00,2024-12-20 13:48:00,Machine C1,6,296
297,2024-01-21 13:30:00,2024-01-21 15:37:00,Machine C2,20,297
298,2024-02-22 14:30:00,2024-02-22 15:59:00,Machine C3,7,298
299,2024-03-23 15:30:00,2024-03-23 17:27:00,Machine C4,14,299
300,2024-04-24 10:30:00,2024-04-24 11:41:00,Machine C0,14,300
301,2024-05-25 11:30:00,2024-05-25 14:07:00,Machine C1,13,301
302,2024-06-26 12:30:00,2024-06-26 14:04:00,Machine C2,8,302
303,2024-07-27 13:30:00,2024-07-27 16:07:00,Machine C3,15,303
304,2024-08-28 14:30:00,2024-08-28 16:06:00,Machine C4,13,304
305,2024-09-01 15:30:00,2024-09-01 17:35:00,Machine C0,18,305
306,2024-10-02 10:30:00,2024-10-02 13:07:00,Machine C1,8,306
307,2024-11-03 11:30:00,2024-11-03 13:55:00,Machine C2,20,307
308,2024-12-04 12:30:00,2024-12-04 14:12:00,Machine C3,16,308
309,2024-01-05 13:30:00,2024-01-05 15:52:00,Machine C4,7,309
310,2024-02-06 14:30:00,2024-02-06 17:29:00,Machine C0,15,310
311,2024-03-07 15:30:00,2024-03-07 17:01:00,Machine C1,9,311
312,2024-04-08 10:30:00,2024-04-08 13:21:00,Machine C2,13,312
313,2024-05-09 11:30:00,2024-05-09 13:50:00,Machine C3,16,313
314,2024-06-10 12:30:00,2024-06-10 14:45:00,Machine C4,16,314
315,2024-07-11 13:30:00,2024-07-11 15:02:00,Machine C0,9,315
316,2024-08-12 14:30:00,2024-08-12 16:35:00,Machine C1,11,316
317,2024-09-13 15:30:00,2024-09-13 18:30:00,Machine C2,12,317
318,2024-10-14 10:30:00,2024-10-14 13:29:00,Machine C3,12,318
319,2024-11-15 11:30:00,2024-11-15 13:52:00,Machine C4,6,319
320,2024-12-16 12:30:00,2024-12-16 15:21:00,Machine C0,8,320
321,2024-01-17 13:30:00,2024-01-17 15:44:00,Machine C1,16,321
322,2024-02-18 14:30:00,2024-02-18 17:06:00,Machine C2,16,322
323,2024-03-19 15:30:00,2024-03-19 18:16:00,Machine C3,9,323
324,2024-04-20 10:30:00,2024-04-20 12:23:00,Machine C4,7,324
325,2024-05-21 11:30:00,2024-05-21 12:52:00,Machine C0,6,325
326,2024-06-22 12:30:00,2024-06-22 14:37:00,Machine C1,19,326
327,2024-07-23 13:30:00,2024-07-23 15:08:00,Machine C2,7,327
328,2024-08-24 14:30:00,2024-08-24 16:39:00,Machine C3,17,328
329,2024-09-25 15:30:00,2024-09-25 17:43:00,Machine C4,9,329
330,2024-10-26 10:30:00,2024-10-26 11:52:00,Machine C0,5,330
331,2024-11-27 11:30:00,2024-11-27 13:07:00,Machine C1,11,331
332,2024-12-28 12:30:00,2024-12-28 14:31:00,Machine C2,12,332
333,2024-01-01 13:30:00,2024-01-01 15:54:00,Machine C3,11,333
334,2024-02-02 14:30:00,2024-02-02 16:22:00,Machine C4,17,334
335,2024-03-03 15:30:00,2024-03-03 18:28:00,Machine C0,19,335
336,2024-04-04 10:30:00,2024-04-04 12:51:00,Machine C1,5,336
337,2024-05-05 11:30:00,2024-05-05 13:44:00,Machine C2,15,337
338,2024-06-06 12:30:00,2024-06-06 14:55:00,Machine C3,7,338
339,2024-07-07 13:30:00,2024-07-07 16:20:00,Machine C4,10,339
340,2024-08-08 14:30:00,2024-08-08 16:26:00,Machine C0,7,340
341,2024-09-09 15:30:00,2024-09-09 18:25:00,Machine C1,17,341
342,2024-10-10 10:30:00,2024-10-10 13:22:00,Machine C2,6,342
343,2024-11-11 11:30:00,2024-11-11 13:49:00,Machine C3,20,343
344,2024-12-12 12:30:00,2024-12-12 14:00:00,Machine C4,7,344
345,2024-01-13 13:30:00,2024-01-13 14:50:00,Machine C0,12,345
346,2024-02-14 14:30:00,2024-02-14 16:47:00,Machine C1,14,346
347,2024-03-15 15:30:00,2024-03-15 18:13:00,Machine C2,11,347
348,2024-04-16 10:30:00,2024-04-16 11:35:00,Machine C3,13,348
349,2024-05-17 11:30:00,2024-05-17 13:12:00,Machine C4,14,349
350,2024-06-18 12:30:00,2024-06-18 15:22:00,Machine C0,12,350
351,2024-07-19 13:30:00,2024-07-19 16:08:00,Machine C1,7,351
352,2024-08-20 14:30:00,2024-08-20 15:48:00,Machine C2,8,352
353,2024-09-21 15:30:00,2024-09-21 18:07:00,Machine C3,6,353
354,2024-10-22 10:30:00,2024-10-22 12:12:00,Machine C4,11,354
355,2024-11-23 11:30:00,2024-11-23 13:18:00,Machine C0,11,355
356,2024-12-24 12:30:00,2024-12-24 14:39:00,Machine C1,19,356
357,2024-01-25 13:30:00,2024-01-25 15:55:00,Machine C2,19,357
358,2024-02-26 14:30:00,2024-02-26 15:35:00,Machine C3,14,358
359,2024-03-27 15:30:00,2024-03-27 16:57:00,Machine C4,17,359
360,2024-04-28 10:30:00,2024-04-28 11:55:00,Machine C0,14,360
361,2024-05-01 11:30:00,2024-05-01 14:07:00,Machine C1,8,361
362,2024-06-02 12:30:00,2024-06-02 14:02:00,Machine C2,9,362
363,2024-07-03 13:30:00,2024-07-03 16:06:00,Machine C3,5,363
364,2024-08-04 14:30:00,2024-08-04 16:11:00,Machine C4,10,364
365,2024-09-05 15:30:00,2024-09-05 16:32:00,Machine C0,6,365
