FillingID,F_DatumTijdStart,F_DatumTijdEind,F_Machine,BatchID
95,2024-02-14 14:00:00,2024-02-14 15:26:00,Machine B0,95
96,2024-03-15 09:00:00,2024-03-15 11:07:00,Machine B1,96
97,2024-04-16 10:00:00,2024-04-16 12:25:00,Machine B2,97
98,2024-05-17 11:00:00,2024-05-17 13:28:00,Machine B3,98
99,2024-06-18 12:00:00,2024-06-18 14:00:00,Machine B4,99
100,2024-07-19 13:00:00,2024-07-19 15:34:00,Machine B0,100
101,2024-08-20 14:00:00,2024-08-20 16:47:00,Machine B1,101
102,2024-09-21 09:00:00,2024-09-21 11:08:00,Machine B2,102
103,2024-10-22 10:00:00,2024-10-22 11:55:00,Machine B3,103
104,2024-11-23 11:00:00,2024-11-23 12:22:00,Machine B4,104
105,2024-12-24 12:00:00,2024-12-24 13:16:00,Machine B0,105
106,2024-01-25 13:00:00,2024-01-25 15:41:00,Machine B1,106
107,2024-02-26 14:00:00,2024-02-26 15:07:00,Machine B2,107
108,2024-03-27 09:00:00,2024-03-27 11:42:00,Machine B3,108
109,2024-04-28 10:00:00,2024-04-28 12:40:00,Machine B4,109
110,2024-05-01 11:00:00,2024-05-01 12:32:00,Machine B0,110
111,2024-06-02 12:00:00,2024-06-02 14:57:00,Machine B1,111
112,2024-07-03 13:00:00,2024-07-03 15:18:00,Machine B2,112
113,2024-08-04 14:00:00,2024-08-04 16:24:00,Machine B3,113
114,2024-09-05 09:00:00,2024-09-05 10:01:00,Machine B4,114
115,2024-10-06 10:00:00,2024-10-06 11:43:00,Machine B0,115
116,2024-11-07 11:00:00,2024-11-07 13:21:00,Machine B1,116
117,2024-12-08 12:00:00,2024-12-08 14:58:00,Machine B2,117
118,2024-01-09 13:00:00,2024-01-09 15:42:00,Machine B3,118
119,2024-02-10 14:00:00,2024-02-10 15:46:00,Machine B4,119
120,2024-03-11 09:00:00,2024-03-11 11:26:00,Machine B0,120
121,2024-04-12 10:00:00,2024-04-12 12:05:00,Machine B1,121
122,2024-05-13 11:00:00,2024-05-13 13:47:00,Machine B2,122
123,2024-06-14 12:00:00,2024-06-14 14:31:00,Machine B3,123
124,2024-07-15 13:00:00,2024-07-15 14:24:00,Machine B4,124
125,2024-08-16 14:00:00,2024-08-16 15:12:00,Machine B0,125
126,2024-09-17 09:00:00,2024-09-17 11:10:00,Machine B1,126
127,2024-10-18 10:00:00,2024-10-18 12:49:00,Machine B2,127
128,2024-11-19 11:00:00,2024-11-19 12:04:00,Machine B3,128
129,2024-12-20 12:00:00,2024-12-20 14:21:00,Machine B4,129
130,2024-01-21 13:00:00,2024-01-21 15:54:00,Machine B0,130
131,2024-02-22 14:00:00,2024-02-22 16:21:00,Machine B1,131
132,2024-03-23 09:00:00,2024-03-23 11:57:00,Machine B2,132
133,2024-04-24 10:00:00,2024-04-24 12:41:00,Machine B3,133
134,2024-05-25 11:00:00,2024-05-25 13:56:00,Machine B4,134
135,2024-06-26 12:00:00,2024-06-26 14:13:00,Machine B0,135
136,2024-07-27 13:00:00,2024-07-27 15:33:00,Machine B1,136
137,2024-08-28 14:00:00,2024-08-28 16:37:00,Machine B2,137
138,2024-09-01 09:00:00,2024-09-01 10:22:00,Machine B3,138
139,2024-10-02 10:00:00,2024-10-02 11:34:00,Machine B4,139
140,2024-11-03 11:00:00,2024-11-03 12:33:00,Machine B0,140
141,2024-12-04 12:00:00,2024-12-04 13:40:00,Machine B1,141
142,2024-01-05 13:00:00,2024-01-05 14:35:00,Machine B2,142
143,2024-02-06 14:00:00,2024-02-06 16:46:00,Machine B3,143
144,2024-03-07 09:00:00,2024-03-07 11:42:00,Machine B4,144
145,2024-04-08 10:00:00,2024-04-08 12:49:00,Machine B0,145
146,2024-05-09 11:00:00,2024-05-09 13:30:00,Machine B1,146
147,2024-06-10 12:00:00,2024-06-10 13:08:00,Machine B2,147
148,2024-07-11 13:00:00,2024-07-11 14:02:00,Machine B3,148
149,2024-08-12 14:00:00,2024-08-12 16:25:00,Machine B4,149
150,2024-09-13 09:00:00,2024-09-13 10:47:00,Machine B0,150
151,2024-10-14 10:00:00,2024-10-14 11:06:00,Machine B1,151
152,2024-11-15 11:00:00,2024-11-15 12:50:00,Machine B2,152
153,2024-12-16 12:00:00,2024-12-16 13:40:00,Machine B3,153
154,2024-01-17 13:00:00,2024-01-17 15:12:00,Machine B4,154
155,2024-02-18 14:00:00,2024-02-18 15:09:00,Machine B0,155
156,2024-03-19 09:00:00,2024-03-19 11:15:00,Machine B1,156
157,2024-04-20 10:00:00,2024-04-20 12:55:00,Machine B2,157
158,2024-05-21 11:00:00,2024-05-21 13:24:00,Machine B3,158
159,2024-06-22 12:00:00,2024-06-22 14:22:00,Machine B4,159
160,2024-07-23 13:00:00,2024-07-23 15:54:00,Machine B0,160
161,2024-08-24 14:00:00,2024-08-24 16:10:00,Machine B1,161
162,2024-09-25 09:00:00,2024-09-25 10:30:00,Machine B2,162
163,2024-10-26 10:00:00,2024-10-26 12:03:00,Machine B3,163
164,2024-11-27 11:00:00,2024-11-27 12:51:00,Machine B4,164
165,2024-12-28 12:00:00,2024-12-28 13:06:00,Machine B0,165
166,2024-01-01 13:00:00,2024-01-01 14:57:00,Machine B1,166
167,2024-02-02 14:00:00,2024-02-02 16:58:00,Machine B2,167
168,2024-03-03 09:00:00,2024-03-03 11:35:00,Machine B3,168
169,2024-04-04 10:00:00,2024-04-04 11:34:00,Machine B4,169
170,2024-05-05 11:00:00,2024-05-05 13:47:00,Machine B0,170
171,2024-06-06 12:00:00,2024-06-06 14:31:00,Machine B1,171
172,2024-07-07 13:00:00,2024-07-07 14:01:00,Machine B2,172
173,2024-08-08 14:00:00,2024-08-08 16:01:00,Machine B3,173
174,2024-09-09 09:00:00,2024-09-09 11:18:00,Machine B4,174
175,2024-10-10 10:00:00,2024-10-10 11:41:00,Machine B0,175
176,2024-11-11 11:00:00,2024-11-11 12:06:00,Machine B1,176
177,2024-12-12 12:00:00,2024-12-12 13:54:00,Machine B2,177
178,2024-01-13 13:00:00,2024-01-13 14:41:00,Machine B3,178
179,2024-02-14 14:00:00,2024-02-14 16:55:00,Machine B4,179
180,2024-03-15 09:00:00,2024-03-15 11:33:00,Machine B0,180
181,2024-04-16 10:00:00,2024-04-16 11:54:00,Machine B1,181
182,2024-05-17 11:00:00,2024-05-17 13:07:00,Machine B2,182
183,2024-06-18 12:00:00,2024-06-18 13:52:00,Machine B3,183
184,2024-07-19 13:00:00,2024-07-19 15:36:00,Machine B4,184
185,2024-08-20 14:00:00,2024-08-20 16:07:00,Machine B0,185
186,2024-09-21 09:00:00,2024-09-21 10:01:00,Machine B1,186
187,2024-10-22 10:00:00,2024-10-22 11:51:00,Machine B2,187
188,2024-11-23 11:00:00,2024-11-23 12:48:00,Machine B3,188
189,2024-12-24 12:00:00,2024-12-24 13:39:00,Machine B4,189
190,2024-01-25 13:00:00,2024-01-25 15:05:00,Machine B0,190
191,2024-02-26 14:00:00,2024-02-26 15:49:00,Machine B1,191
192,2024-03-27 09:00:00,2024-03-27 11:39:00,Machine B2,192
193,2024-04-28 10:00:00,2024-04-28 12:52:00,Machine B3,193
194,2024-05-01 11:00:00,2024-05-01 12:11:00,Machine B4,194
195,2024-06-02 12:00:00,2024-06-02 13:32:00,Machine B0,195
196,2024-07-03 13:00:00,2024-07-03 15:25:00,Machine B1,196
197,2024-08-04 14:00:00,2024-08-04 15:49:00,Machine B2,197
198,2024-09-05 09:00:00,2024-09-05 11:50:00,Machine B3,198
199,2024-10-06 10:00:00,2024-10-06 12:07:00,Machine B4,199
200,2024-11-07 11:00:00,2024-11-07 12:07:00,Machine B0,200
201,2024-12-08 12:00:00,2024-12-08 14:22:00,Machine B1,201
202,2024-01-09 13:00:00,2024-01-09 15:50:00,Machine B2,202
203,2024-02-10 14:00:00,2024-02-10 15:13:00,Machine B3,203
204,2024-03-11 09:00:00,2024-03-11 10:23:00,Machine B4,204
205,2024-04-12 10:00:00,2024-04-12 11:43:00,Machine B0,205
206,2024-05-13 11:00:00,2024-05-13 12:46:00,Machine B1,206
207,2024-06-14 12:00:00,2024-06-14 14:07:00,Machine B2,207
208,2024-07-15 13:00:00,2024-07-15 14:27:00,Machine B3,208
209,2024-08-16 14:00:00,2024-08-16 16:06:00,Machine B4,209
210,2024-09-17 09:00:00,2024-09-17 10:01:00,Machine B0,210
211,2024-10-18 10:00:00,2024-10-18 12:52:00,Machine B1,211
212,2024-11-19 11:00:00,2024-11-19 12:13:00,Machine B2,212
213,2024-12-20 12:00:00,2024-12-20 14:29:00,Machine B3,213
214,2024-01-21 13:00:00,2024-01-21 14:52:00,Machine B4,214
215,2024-02-22 14:00:00,2024-02-22 16:17:00,Machine B0,215
216,2024-03-23 09:00:00,2024-03-23 10:17:00,Machine B1,216
217,2024-04-24 10:00:00,2024-04-24 12:25:00,Machine B2,217
218,2024-05-25 11:00:00,2024-05-25 13:33:00,Machine B3,218
219,2024-06-26 12:00:00,2024-06-26 13:22:00,Machine B4,219
220,2024-07-27 13:00:00,2024-07-27 15:43:00,Machine B0,220
221,2024-08-28 14:00:00,2024-08-28 15:55:00,Machine B1,221
222,2024-09-01 09:00:00,2024-09-01 11:13:00,Machine B2,222
223,2024-10-02 10:00:00,2024-10-02 12:42:00,Machine B3,223
224,2024-11-03 11:00:00,2024-11-03 12:04:00,Machine B4,224
225,2024-12-04 12:00:00,2024-12-04 14:28:00,Machine B0,225
226,2024-01-05 13:00:00,2024-01-05 14:10:00,Machine B1,226
227,2024-02-06 14:00:00,2024-02-06 15:29:00,Machine B2,227
228,2024-03-07 09:00:00,2024-03-07 11:38:00,Machine B3,228
229,2024-04-08 10:00:00,2024-04-08 12:15:00,Machine B4,229
230,2024-05-09 11:00:00,2024-05-09 13:03:00,Machine B0,230
231,2024-06-10 12:00:00,2024-06-10 14:42:00,Machine B1,231
232,2024-07-11 13:00:00,2024-07-11 15:33:00,Machine B2,232
233,2024-08-12 14:00:00,2024-08-12 15:04:00,Machine B3,233
234,2024-09-13 09:00:00,2024-09-13 11:23:00,Machine B4,234
235,2024-10-14 10:00:00,2024-10-14 12:51:00,Machine B0,235
236,2024-11-15 11:00:00,2024-11-15 13:49:00,Machine B1,236
237,2024-12-16 12:00:00,2024-12-16 14:35:00,Machine B2,237
238,2024-01-17 13:00:00,2024-01-17 15:39:00,Machine B3,238
239,2024-02-18 14:00:00,2024-02-18 15:58:00,Machine B4,239
240,2024-03-19 09:00:00,2024-03-19 10:18:00,Machine B0,240
241,2024-04-20 10:00:00,2024-04-20 12:22:00,Machine B1,241
242,2024-05-21 11:00:00,2024-05-21 12:23:00,Machine B2,242
243,2024-06-22 12:00:00,2024-06-22 14:27:00,Machine B3,243
244,2024-07-23 13:00:00,2024-07-23 14:24:00,Machine B4,244
245,2024-08-24 14:00:00,2024-08-24 15:36:00,Machine B0,245
246,2024-09-25 09:00:00,2024-09-25 10:58:00,Machine B1,246
247,2024-10-26 10:00:00,2024-10-26 12:34:00,Machine B2,247
248,2024-11-27 11:00:00,2024-11-27 13:32:00,Machine B3,248
249,2024-12-28 12:00:00,2024-12-28 14:25:00,Machine B4,249
250,2024-01-01 13:00:00,2024-01-01 14:01:00,Machine B0,250
251,2024-02-02 14:00:00,2024-02-02 15:49:00,Machine B1,251
252,2024-03-03 09:00:00,2024-03-03 10:16:00,Machine B2,252
253,2024-04-04 10:00:00,2024-04-04 11:23:00,Machine B3,253
254,2024-05-05 11:00:00,2024-05-05 12:29:00,Machine B4,254
255,2024-06-06 12:00:00,2024-06-06 14:00:00,Machine B0,255
256,2024-07-07 13:00:00,2024-07-07 14:28:00,Machine B1,256
257,2024-08-08 14:00:00,2024-08-08 15:07:00,Machine B2,257
258,2024-09-09 09:00:00,2024-09-09 10:50:00,Machine B3,258
259,2024-10-10 10:00:00,2024-10-10 12:07:00,Machine B4,259
260,2024-11-11 11:00:00,2024-11-11 12:36:00,Machine B0,260
261,2024-12-12 12:00:00,2024-12-12 13:23:00,Machine B1,261
262,2024-01-13 13:00:00,2024-01-13 14:47:00,Machine B2,262
263,2024-02-14 14:00:00,2024-02-14 16:35:00,Machine B3,263
264,2024-03-15 09:00:00,2024-03-15 10:24:00,Machine B4,264
265,2024-04-16 10:00:00,2024-04-16 11:51:00,Machine B0,265
266,2024-05-17 11:00:00,2024-05-17 12:51:00,Machine B1,266
267,2024-06-18 12:00:00,2024-06-18 14:03:00,Machine B2,267
268,2024-07-19 13:00:00,2024-07-19 15:42:00,Machine B3,268
269,2024-08-20 14:00:00,2024-08-20 15:50:00,Machine B4,269
270,2024-09-21 09:00:00,2024-09-21 11:05:00,Machine B0,270
271,2024-10-22 10:00:00,2024-10-22 11:15:00,Machine B1,271
272,2024-11-23 11:00:00,2024-11-23 12:20:00,Machine B2,272
273,2024-12-24 12:00:00,2024-12-24 14:55:00,Machine B3,273
274,2024-01-25 13:00:00,2024-01-25 14:49:00,Machine B4,274
275,2024-02-26 14:00:00,2024-02-26 15:28:00,Machine B0,275
276,2024-03-27 09:00:00,2024-03-27 11:29:00,Machine B1,276
277,2024-04-28 10:00:00,2024-04-28 12:45:00,Machine B2,277
278,2024-05-01 11:00:00,2024-05-01 12:19:00,Machine B3,278
279,2024-06-02 12:00:00,2024-06-02 14:37:00,Machine B4,279
280,2024-07-03 13:00:00,2024-07-03 14:51:00,Machine B0,280
281,2024-08-04 14:00:00,2024-08-04 15:34:00,Machine B1,281
282,2024-09-05 09:00:00,2024-09-05 10:21:00,Machine B2,282
283,2024-10-06 10:00:00,2024-10-06 12:53:00,Machine B3,283
284,2024-11-07 11:00:00,2024-11-07 12:14:00,Machine B4,284
285,2024-12-08 12:00:00,2024-12-08 14:23:00,Machine B0,285
286,2024-01-09 13:00:00,2024-01-09 15:23:00,Machine B1,286
287,2024-02-10 14:00:00,2024-02-10 15:29:00,Machine B2,287
288,2024-03-11 09:00:00,2024-03-11 10:55:00,Machine B3,288
289,2024-04-12 10:00:00,2024-04-12 12:40:00,Machine B4,289
290,2024-05-13 11:00:00,2024-05-13 12:48:00,Machine B0,290
291,2024-06-14 12:00:00,2024-06-14 14:58:00,Machine B1,291
292,2024-07-15 13:00:00,2024-07-15 14:15:00,Machine B2,292
293,2024-08-16 14:00:00,2024-08-16 15:11:00,Machine B3,293
294,2024-09-17 09:00:00,2024-09-17 11:47:00,Machine B4,294
295,2024-10-18 10:00:00,2024-10-18 12:57:00,Machine B0,295
296,2024-11-19 11:00:00,2024-11-19 13:22:00,Machine B1,296
297,2024-12-20 12:00:00,2024-12-20 13:11:00,Machine B2,297
298,2024-01-21 13:00:00,2024-01-21 14:09:00,Machine B3,298
299,2024-02-22 14:00:00,2024-02-22 16:40:00,Machine B4,299
300,2024-03-23 09:00:00,2024-03-23 10:00:00,Machine B0,300
301,2024-04-24 10:00:00,2024-04-24 11:14:00,Machine B1,301
302,2024-05-25 11:00:00,2024-05-25 12:32:00,Machine B2,302
303,2024-06-26 12:00:00,2024-06-26 14:10:00,Machine B3,303
304,2024-07-27 13:00:00,2024-07-27 15:29:00,Machine B4,304
305,2024-08-28 14:00:00,2024-08-28 15:21:00,Machine B0,305
306,2024-09-01 09:00:00,2024-09-01 11:01:00,Machine B1,306
307,2024-10-02 10:00:00,2024-10-02 12:39:00,Machine B2,307
308,2024-11-03 11:00:00,2024-11-03 13:44:00,Machine B3,308
309,2024-12-04 12:00:00,2024-12-04 14:26:00,Machine B4,309
310,2024-01-05 13:00:00,2024-01-05 15:52:00,Machine B0,310
311,2024-02-06 14:00:00,2024-02-06 16:57:00,Machine B1,311
312,2024-03-07 09:00:00,2024-03-07 12:00:00,Machine B2,312
313,2024-04-08 10:00:00,2024-04-08 12:05:00,Machine B3,313
314,2024-05-09 11:00:00,2024-05-09 12:59:00,Machine B4,314
315,2024-06-10 12:00:00,2024-06-10 13:36:00,Machine B0,315
316,2024-07-11 13:00:00,2024-07-11 15:10:00,Machine B1,316
317,2024-08-12 14:00:00,2024-08-12 15:19:00,Machine B2,317
318,2024-09-13 09:00:00,2024-09-13 11:14:00,Machine B3,318
319,2024-10-14 10:00:00,2024-10-14 12:29:00,Machine B4,319
320,2024-11-15 11:00:00,2024-11-15 12:08:00,Machine B0,320
321,2024-12-16 12:00:00,2024-12-16 14:38:00,Machine B1,321
322,2024-01-17 13:00:00,2024-01-17 15:54:00,Machine B2,322
323,2024-02-18 14:00:00,2024-02-18 16:05:00,Machine B3,323
324,2024-03-19 09:00:00,2024-03-19 11:30:00,Machine B4,324
325,2024-04-20 10:00:00,2024-04-20 12:28:00,Machine B0,325
326,2024-05-21 11:00:00,2024-05-21 13:16:00,Machine B1,326
327,2024-06-22 12:00:00,2024-06-22 14:13:00,Machine B2,327
328,2024-07-23 13:00:00,2024-07-23 14:15:00,Machine B3,328
329,2024-08-24 14:00:00,2024-08-24 15:34:00,Machine B4,329
330,2024-09-25 09:00:00,2024-09-25 11:00:00,Machine B0,330
331,2024-10-26 10:00:00,2024-10-26 12:35:00,Machine B1,331
332,2024-11-27 11:00:00,2024-11-27 13:46:00,Machine B2,332
333,2024-12-28 12:00:00,2024-12-28 14:38:00,Machine B3,333
334,2024-01-01 13:00:00,2024-01-01 14:50:00,Machine B4,334
335,2024-02-02 14:00:00,2024-02-02 15:21:00,Machine B0,335
336,2024-03-03 09:00:00,2024-03-03 11:20:00,Machine B1,336
337,2024-04-04 10:00:00,2024-04-04 11:14:00,Machine B2,337
338,2024-05-05 11:00:00,2024-05-05 13:23:00,Machine B3,338
339,2024-06-06 12:00:00,2024-06-06 15:00:00,Machine B4,339
340,2024-07-07 13:00:00,2024-07-07 14:48:00,Machine B0,340
341,2024-08-08 14:00:00,2024-08-08 16:00:00,Machine B1,341
342,2024-09-09 09:00:00,2024-09-09 10:03:00,Machine B2,342
343,2024-10-10 10:00:00,2024-10-10 12:46:00,Machine B3,343
344,2024-11-11 11:00:00,2024-11-11 12:15:00,Machine B4,344
345,2024-12-12 12:00:00,2024-12-12 14:44:00,Machine B0,345
346,2024-01-13 13:00:00,2024-01-13 14:38:00,Machine B1,346
347,2024-02-14 14:00:00,2024-02-14 16:44:00,Machine B2,347
348,2024-03-15 09:00:00,2024-03-15 10:52:00,Machine B3,348
349,2024-04-16 10:00:00,2024-04-16 12:06:00,Machine B4,349
350,2024-05-17 11:00:00,2024-05-17 12:43:00,Machine B0,350
351,2024-06-18 12:00:00,2024-06-18 14:10:00,Machine B1,351
352,2024-07-19 13:00:00,2024-07-19 15:51:00,Machine B2,352
353,2024-08-20 14:00:00,2024-08-20 15:32:00,Machine B3,353
354,2024-09-21 09:00:00,2024-09-21 11:36:00,Machine B4,354
355,2024-10-22 10:00:00,2024-10-22 11:14:00,Machine B0,355
356,2024-11-23 11:00:00,2024-11-23 13:25:00,Machine B1,356
357,2024-12-24 12:00:00,2024-12-24 14:28:00,Machine B2,357
358,2024-01-25 13:00:00,2024-01-25 15:21:00,Machine B3,358
359,2024-02-26 14:00:00,2024-02-26 15:55:00,Machine B4,359
360,2024-03-27 09:00:00,2024-03-27 11:59:00,Machine B0,360
361,2024-04-28 10:00:00,2024-04-28 12:27:00,Machine B1,361
362,2024-05-01 11:00:00,2024-05-01 12:07:00,Machine B2,362
363,2024-06-02 12:00:00,2024-06-02 13:43:00,Machine B3,363
364,2024-07-03 13:00:00,2024-07-03 14:48:00,Machine B4,364
365,2024-08-04 14:00:00,2024-08-04 15:23:00,Machine B0,365
366,2024-09-05 09:00:00,2024-09-05 10:13:00,Machine B1,366
367,2024-10-06 10:00:00,2024-10-06 11:35:00,Machine B2,367
368,2024-11-07 11:00:00,2024-11-07 13:06:00,Machine B3,368
369,2024-12-08 12:00:00,2024-12-08 14:02:00,Machine B4,369
370,2024-01-09 13:00:00,2024-01-09 14:32:00,Machine B0,370
371,2024-02-10 14:00:00,2024-02-10 17:00:00,Machine B1,371
372,2024-03-11 09:00:00,2024-03-11 10:30:00,Machine B2,372
373,2024-04-12 10:00:00,2024-04-12 12:12:00,Machine B3,373
374,2024-05-13 11:00:00,2024-05-13 12:45:00,Machine B4,374
375,2024-06-14 12:00:00,2024-06-14 13:36:00,Machine B0,375
376,2024-07-15 13:00:00,2024-07-15 14:39:00,Machine B1,376
377,2024-08-16 14:00:00,2024-08-16 16:02:00,Machine B2,377
378,2024-09-17 09:00:00,2024-09-17 10:45:00,Machine B3,378
379,2024-10-18 10:00:00,2024-10-18 12:33:00,Machine B4,379
380,2024-11-19 11:00:00,2024-11-19 12:25:00,Machine B0,380
381,2024-12-20 12:00:00,2024-12-20 14:50:00,Machine B1,381
382,2024-01-21 13:00:00,2024-01-21 15:02:00,Machine B2,382
383,2024-02-22 14:00:00,2024-02-22 16:37:00,Machine B3,383
384,2024-03-23 09:00:00,2024-03-23 11:12:00,Machine B4,384
385,2024-04-24 10:00:00,2024-04-24 11:39:00,Machine B0,385
386,2024-05-25 11:00:00,2024-05-25 13:22:00,Machine B1,386
