LeveringID,LeveringDatum,VerwachteLeverdatum
593,2024-09-06,2024-11-08
594,2024-10-07,2024-12-09
595,2024-11-08,2024-01-10
596,2024-12-09,2024-02-11
597,2024-01-10,2024-03-12
598,2024-02-11,2024-04-13
599,2024-03-12,2024-05-14
600,2024-04-13,2024-06-15
601,2024-05-14,2024-07-16
602,2024-06-15,2024-08-17
603,2024-07-16,2024-09-18
604,2024-08-17,2024-10-19
605,2024-09-18,2024-11-20
606,2024-10-19,2024-12-21
607,2024-11-20,2024-01-22
608,2024-12-21,2024-02-23
609,2024-01-22,2024-03-24
610,2024-02-23,2024-04-25
611,2024-03-24,2024-05-26
612,2024-04-25,2024-06-27
613,2024-05-26,2024-07-28
614,2024-06-27,2024-08-01
615,2024-07-28,2024-09-02
616,2024-08-01,2024-10-03
617,2024-09-02,2024-11-04
618,2024-10-03,2024-12-05
619,2024-11-04,2024-01-06
620,2024-12-05,2024-02-07
621,2024-01-06,2024-03-08
622,2024-02-07,2024-04-09
623,2024-03-08,2024-05-10
624,2024-04-09,2024-06-11
625,2024-05-10,2024-07-12
626,2024-06-11,2024-08-13
627,2024-07-12,2024-09-14
628,2024-08-13,2024-10-15
629,2024-09-14,2024-11-16
630,2024-10-15,2024-12-17
631,2024-11-16,2024-01-18
632,2024-12-17,2024-02-19
633,2024-01-18,2024-03-20
634,2024-02-19,2024-04-21
635,2024-03-20,2024-05-22
636,2024-04-21,2024-06-23
637,2024-05-22,2024-07-24
638,2024-06-23,2024-08-25
639,2024-07-24,2024-09-26
640,2024-08-25,2024-10-27
641,2024-09-26,2024-11-28
642,2024-10-27,2024-12-01
643,2024-11-28,2024-01-02
644,2024-12-01,2024-02-03
645,2024-01-02,2024-03-04
646,2024-02-03,2024-04-05
647,2024-03-04,2024-05-06
648,2024-04-05,2024-06-07
649,2024-05-06,2024-07-08
650,2024-06-07,2024-08-09
651,2024-07-08,2024-09-10
652,2024-08-09,2024-10-11
653,2024-09-10,2024-11-12
654,2024-10-11,2024-12-13
655,2024-11-12,2024-01-14
656,2024-12-13,2024-02-15
657,2024-01-14,2024-03-16
658,2024-02-15,2024-04-17
659,2024-03-16,2024-05-18
660,2024-04-17,2024-06-19
661,2024-05-18,2024-07-20
662,2024-06-19,2024-08-21
663,2024-07-20,2024-09-22
664,2024-08-21,2024-10-23
665,2024-09-22,2024-11-24
666,2024-10-23,2024-12-25
667,2024-11-24,2024-01-26
668,2024-12-25,2024-02-27
669,2024-01-26,2024-03-28
670,2024-02-27,2024-04-01
671,2024-03-28,2024-05-02
672,2024-04-01,2024-06-03
673,2024-05-02,2024-07-04
674,2024-06-03,2024-08-05
675,2024-07-04,2024-09-06
676,2024-08-05,2024-10-07
677,2024-09-06,2024-11-08
678,2024-10-07,2024-12-09
679,2024-11-08,2024-01-10
680,2024-12-09,2024-02-11
681,2024-01-10,2024-03-12
682,2024-02-11,2024-04-13
683,2024-03-12,2024-05-14
684,2024-04-13,2024-06-15
685,2024-05-14,2024-07-16
686,2024-06-15,2024-08-17
687,2024-07-16,2024-09-18
688,2024-08-17,2024-10-19
689,2024-09-18,2024-11-20
690,2024-10-19,2024-12-21
691,2024-11-20,2024-01-22
692,2024-12-21,2024-02-23
693,2024-01-22,2024-03-24
694,2024-02-23,2024-04-25
695,2024-03-24,2024-05-26
696,2024-04-25,2024-06-27
697,2024-05-26,2024-07-28
698,2024-06-27,2024-08-01
699,2024-07-28,2024-09-02
700,2024-08-01,2024-10-03
701,2024-09-02,2024-11-04
702,2024-10-03,2024-12-05
703,2024-11-04,2024-01-06
704,2024-12-05,2024-02-07
705,2024-01-06,2024-03-08
706,2024-02-07,2024-04-09
707,2024-03-08,2024-05-10
708,2024-04-09,2024-06-11
709,2024-05-10,2024-07-12
710,2024-06-11,2024-08-13
711,2024-07-12,2024-09-14
712,2024-08-13,2024-10-15
713,2024-09-14,2024-11-16
714,2024-10-15,2024-12-17
715,2024-11-16,2024-01-18
716,2024-12-17,2024-02-19
717,2024-01-18,2024-03-20
718,2024-02-19,2024-04-21
719,2024-03-20,2024-05-22
720,2024-04-21,2024-06-23
721,2024-05-22,2024-07-24
722,2024-06-23,2024-08-25
723,2024-07-24,2024-09-26
724,2024-08-25,2024-10-27
725,2024-09-26,2024-11-28
726,2024-10-27,2024-12-01
727,2024-11-28,2024-01-02
728,2024-12-01,2024-02-03
729,2024-01-02,2024-03-04
730,2024-02-03,2024-04-05
731,2024-03-04,2024-05-06
732,2024-04-05,2024-06-07
733,2024-05-06,2024-07-08
734,2024-06-07,2024-08-09
735,2024-07-08,2024-09-10
736,2024-08-09,2024-10-11
737,2024-09-10,2024-11-12
738,2024-10-11,2024-12-13
739,2024-11-12,2024-01-14
740,2024-12-13,2024-02-15
741,2024-01-14,2024-03-16
742,2024-02-15,2024-04-17
743,2024-03-16,2024-05-18
744,2024-04-17,2024-06-19
745,2024-05-18,2024-07-20
746,2024-06-19,2024-08-21
747,2024-07-20,2024-09-22
748,2024-08-21,2024-10-23
749,2024-09-22,2024-11-24
750,2024-10-23,2024-12-25
751,2024-11-24,2024-01-26
752,2024-12-25,2024-02-27
753,2024-01-26,2024-03-28
754,2024-02-27,2024-04-01
755,2024-03-28,2024-05-02
756,2024-04-01,2024-06-03
757,2024-05-02,2024-07-04
758,2024-06-03,2024-08-05
759,2024-07-04,2024-09-06
760,2024-08-05,2024-10-07
761,2024-09-06,2024-11-08
762,2024-10-07,2024-12-09
763,2024-11-08,2024-01-10
764,2024-12-09,2024-02-11
765,2024-01-10,2024-03-12
766,2024-02-11,2024-04-13
767,2024-03-12,2024-05-14
768,2024-04-13,2024-06-15
769,2024-05-14,2024-07-16
770,2024-06-15,2024-08-17
771,2024-07-16,2024-09-18
772,2024-08-17,2024-10-19
773,2024-09-18,2024-11-20
774,2024-10-19,2024-12-21
775,2024-11-20,2024-01-22
776,2024-12-21,2024-02-23
777,2024-01-22,2024-03-24
778,2024-02-23,2024-04-25
779,2024-03-24,2024-05-26
780,2024-04-25,2024-06-27
781,2024-05-26,2024-07-28
782,2024-06-27,2024-08-01
783,2024-07-28,2024-09-02
784,2024-08-01,2024-10-03
785,2024-09-02,2024-11-04
786,2024-10-03,2024-12-05
787,2024-11-04,2024-01-06
788,2024-12-05,2024-02-07
789,2024-01-06,2024-03-08
790,2024-02-07,2024-04-09
791,2024-03-08,2024-05-10
792,2024-04-09,2024-06-11
793,2024-05-10,2024-07-12
794,2024-06-11,2024-08-13
795,2024-07-12,2024-09-14
796,2024-08-13,2024-10-15
797,2024-09-14,2024-11-16
798,2024-10-15,2024-12-17
799,2024-11-16,2024-01-18
800,2024-12-17,2024-02-19
801,2024-01-18,2024-03-20
802,2024-02-19,2024-04-21
803,2024-03-20,2024-05-22
804,2024-04-21,2024-06-23
805,2024-05-22,2024-07-24
806,2024-06-23,2024-08-25
807,2024-07-24,2024-09-26
808,2024-08-25,2024-10-27
809,2024-09-26,2024-11-28
810,2024-10-27,2024-12-01
811,2024-11-28,2024-01-02
812,2024-12-01,2024-02-03
813,2024-01-02,2024-03-04
814,2024-02-03,2024-04-05
815,2024-03-04,2024-05-06
816,2024-04-05,2024-06-07
817,2024-05-06,2024-07-08
818,2024-06-07,2024-08-09
819,2024-07-08,2024-09-10
820,2024-08-09,2024-10-11
821,2024-09-10,2024-11-12
822,2024-10-11,2024-12-13
823,2024-11-12,2024-01-14
824,2024-12-13,2024-02-15
825,2024-01-14,2024-03-16
826,2024-02-15,2024-04-17
827,2024-03-16,2024-05-18
828,2024-04-17,2024-06-19
829,2024-05-18,2024-07-20
830,2024-06-19,2024-08-21
831,2024-07-20,2024-09-22
832,2024-08-21,2024-10-23
833,2024-09-22,2024-11-24
834,2024-10-23,2024-12-25
835,2024-11-24,2024-01-26
836,2024-12-25,2024-02-27
837,2024-01-26,2024-03-28
838,2024-02-27,2024-04-01
839,2024-03-28,2024-05-02
840,2024-04-01,2024-06-03
841,2024-05-02,2024-07-04
842,2024-06-03,2024-08-05
843,2024-07-04,2024-09-06
844,2024-08-05,2024-10-07
845,2024-09-06,2024-11-08
846,2024-10-07,2024-12-09
847,2024-11-08,2024-01-10
848,2024-12-09,2024-02-11
849,2024-01-10,2024-03-12
850,2024-02-11,2024-04-13
851,2024-03-12,2024-05-14
852,2024-04-13,2024-06-15
853,2024-05-14,2024-07-16
854,2024-06-15,2024-08-17
855,2024-07-16,2024-09-18
856,2024-08-17,2024-10-19
857,2024-09-18,2024-11-20
858,2024-10-19,2024-12-21
859,2024-11-20,2024-01-22
860,2024-12-21,2024-02-23
861,2024-01-22,2024-03-24
862,2024-02-23,2024-04-25
863,2024-03-24,2024-05-26
864,2024-04-25,2024-06-27
865,2024-05-26,2024-07-28
866,2024-06-27,2024-08-01
867,2024-07-28,2024-09-02
868,2024-08-01,2024-10-03
869,2024-09-02,2024-11-04
870,2024-10-03,2024-12-05
871,2024-11-04,2024-01-06
